Position,Name,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Le'Veon Bell (10981253),9400,PIT@CLE 09/09/2018 01:00PM ET,PIT,24.69
RB,David Johnson (10981255),8800,WAS@ARI 09/09/2018 04:25PM ET,ARI,14
WR,Antonio Brown (10981597),8600,PIT@CLE 09/09/2018 01:00PM ET,PIT,24.63
RB,Alvin Kamara (10981257),8500,TB@NO 09/09/2018 01:00PM ET,NO,19.9
WR,DeAndre Hopkins (10981599),8300,HOU@NE 09/09/2018 01:00PM ET,HOU,21.72
WR,Michael Thomas (10981601),7800,TB@NO 09/09/2018 01:00PM ET,NO,17.56
RB,Ezekiel Elliott (10981259),7700,DAL@CAR 09/09/2018 04:25PM ET,DAL,21.92
WR,Keenan Allen (10981603),7500,KC@LAC 09/09/2018 04:05PM ET,LAC,19.08
WR,A.J. Green (10981605),7300,CIN@IND 09/09/2018 01:00PM ET,CIN,14.86
QB,Tom Brady (10981164),7200,HOU@NE 09/09/2018 01:00PM ET,NE,20.73
RB,Leonard Fournette (10981261),7100,JAX@NYG 09/09/2018 01:00PM ET,JAX,19.24
WR,Odell Beckham Jr. (10981607),7000,JAX@NYG 09/09/2018 01:00PM ET,NYG,18.5
TE,Rob Gronkowski (10982169),6900,HOU@NE 09/09/2018 01:00PM ET,NE,16.22
WR,Adam Thielen (10981609),6900,SF@MIN 09/09/2018 01:00PM ET,MIN,15.16
RB,Kareem Hunt (10981263),6900,KC@LAC 09/09/2018 04:05PM ET,KC,19.29
QB,Cam Newton (10981165),6900,DAL@CAR 09/09/2018 04:25PM ET,CAR,20.66
QB,Drew Brees (10981166),6800,TB@NO 09/09/2018 01:00PM ET,NO,18.13
WR,T.Y. Hilton (10981611),6800,CIN@IND 09/09/2018 01:00PM ET,IND,11.79
RB,Melvin Gordon (10981265),6800,KC@LAC 09/09/2018 04:05PM ET,LAC,18.38
RB,Saquon Barkley (10981267),6700,JAX@NYG 09/09/2018 01:00PM ET,NYG,0
WR,Mike Evans (10981613),6700,TB@NO 09/09/2018 01:00PM ET,TB,13.74
QB,Deshaun Watson (10981167),6700,HOU@NE 09/09/2018 01:00PM ET,HOU,26.27
QB,Ben Roethlisberger (10981168),6600,PIT@CLE 09/09/2018 01:00PM ET,PIT,20.57
WR,Larry Fitzgerald (10981615),6600,WAS@ARI 09/09/2018 04:25PM ET,ARI,17.15
QB,Kirk Cousins (10981169),6500,SF@MIN 09/09/2018 01:00PM ET,MIN,19.41
WR,Tyreek Hill (10981617),6500,KC@LAC 09/09/2018 04:05PM ET,KC,17.21
QB,Philip Rivers (10981170),6400,KC@LAC 09/09/2018 04:05PM ET,LAC,18.71
TE,Travis Kelce (10982171),6400,KC@LAC 09/09/2018 04:05PM ET,KC,16.44
RB,Christian McCaffrey (10981269),6400,DAL@CAR 09/09/2018 04:25PM ET,CAR,15.25
WR,Stefon Diggs (10981619),6300,SF@MIN 09/09/2018 01:00PM ET,MIN,15.31
QB,Marcus Mariota (10981171),6300,TEN@MIA 09/09/2018 01:00PM ET,TEN,16.57
RB,Dalvin Cook (10981271),6200,SF@MIN 09/09/2018 01:00PM ET,MIN,17.35
QB,Russell Wilson (10981172),6200,SEA@DEN 09/09/2018 04:25PM ET,SEA,23.18
WR,Doug Baldwin (10981621),6200,SEA@DEN 09/09/2018 04:25PM ET,SEA,14.33
WR,Chris Hogan (10981623),6100,HOU@NE 09/09/2018 01:00PM ET,NE,11
QB,Andrew Luck (10981173),6100,CIN@IND 09/09/2018 01:00PM ET,IND,0
RB,Joe Mixon (10981273),6100,CIN@IND 09/09/2018 01:00PM ET,CIN,10.45
RB,LeSean McCoy (10981275),6000,BUF@BAL 09/09/2018 01:00PM ET,BUF,17.32
WR,Julian Edelman (10981625),6000,HOU@NE 09/09/2018 01:00PM ET,NE,0
QB,Patrick Mahomes II (10981174),6000,KC@LAC 09/09/2018 04:05PM ET,KC,11.36
RB,Kenyan Drake (10981277),5900,TEN@MIA 09/09/2018 01:00PM ET,MIA,9.39
WR,JuJu Smith-Schuster (10981627),5900,PIT@CLE 09/09/2018 01:00PM ET,PIT,14.41
RB,Jerick McKinnon (10981279),5800,SF@MIN 09/09/2018 01:00PM ET,SF,12.21
QB,Andy Dalton (10981175),5800,CIN@IND 09/09/2018 01:00PM ET,CIN,14.36
WR,Josh Gordon (10981629),5800,PIT@CLE 09/09/2018 01:00PM ET,CLE,12.1
RB,Mark Ingram (10981281),5700,TB@NO 09/09/2018 01:00PM ET,NO,16.74
QB,Jimmy Garoppolo (10981176),5700,SF@MIN 09/09/2018 01:00PM ET,SF,16.48
WR,Demaryius Thomas (10981631),5700,SEA@DEN 09/09/2018 04:25PM ET,DEN,13.12
RB,Alex Collins (10981283),5600,BUF@BAL 09/09/2018 01:00PM ET,BAL,11.93
QB,Blake Bortles (10981178),5600,JAX@NYG 09/09/2018 01:00PM ET,JAX,17.13
WR,Corey Davis (10981633),5600,TEN@MIA 09/09/2018 01:00PM ET,TEN,7.79
QB,Alex Smith (10981177),5600,WAS@ARI 09/09/2018 04:25PM ET,WAS,21
QB,Jameis Winston (10981179),5500,TB@NO 09/09/2018 01:00PM ET,TB,18.28
WR,Jarvis Landry (10981635),5500,PIT@CLE 09/09/2018 01:00PM ET,CLE,16.38
QB,Dak Prescott (10981180),5500,DAL@CAR 09/09/2018 04:25PM ET,DAL,17.48
WR,Michael Crabtree (10981637),5400,BUF@BAL 09/09/2018 01:00PM ET,BAL,12.27
RB,Derrick Henry (10981285),5400,TEN@MIA 09/09/2018 01:00PM ET,TEN,9.94
QB,Tyrod Taylor (10981181),5400,PIT@CLE 09/09/2018 01:00PM ET,CLE,14.73
TE,Greg Olsen (10982173),5400,DAL@CAR 09/09/2018 04:25PM ET,CAR,9.1
QB,Ryan Tannehill (10981182),5300,TEN@MIA 09/09/2018 01:00PM ET,MIA,0
WR,DeVante Parker (10981639),5300,TEN@MIA 09/09/2018 01:00PM ET,MIA,10
RB,Lamar Miller (10981287),5200,HOU@NE 09/09/2018 01:00PM ET,HOU,12.09
WR,Devin Funchess (10981641),5200,DAL@CAR 09/09/2018 04:25PM ET,CAR,12.35
QB,Sam Bradford (10981183),5200,WAS@ARI 09/09/2018 04:25PM ET,ARI,14.99
RB,Sony Michel (10981289),5100,HOU@NE 09/09/2018 01:00PM ET,NE,0
WR,Will Fuller V (10981645),5100,HOU@NE 09/09/2018 01:00PM ET,HOU,11.62
WR,Sammy Watkins (10981643),5100,KC@LAC 09/09/2018 04:05PM ET,KC,9.54
QB,Case Keenum (10981184),5100,SEA@DEN 09/09/2018 04:25PM ET,DEN,16.68
WR,Kelvin Benjamin (10981647),5000,BUF@BAL 09/09/2018 01:00PM ET,BUF,9.34
QB,Ryan Fitzpatrick (10981186),5000,TB@NO 09/09/2018 01:00PM ET,TB,12.82
QB,Jacoby Brissett (10981185),5000,CIN@IND 09/09/2018 01:00PM ET,IND,13.87
WR,Emmanuel Sanders (10981649),5000,SEA@DEN 09/09/2018 04:25PM ET,DEN,9.79
RB,Derrius Guice (10981291),5000,WAS@ARI 09/09/2018 04:25PM ET,WAS,0
WR,Jamison Crowder (10981651),5000,WAS@ARI 09/09/2018 04:25PM ET,WAS,11.29
QB,Joe Flacco (10981187),4900,BUF@BAL 09/09/2018 01:00PM ET,BAL,12.38
RB,Chris Ivory (10981297),4900,BUF@BAL 09/09/2018 01:00PM ET,BUF,5.79
RB,T.J. Yeldon (10981299),4900,JAX@NYG 09/09/2018 01:00PM ET,JAX,9.46
WR,Marqise Lee (10981653),4900,JAX@NYG 09/09/2018 01:00PM ET,JAX,9.55
RB,Ronald Jones II (10981295),4900,TB@NO 09/09/2018 01:00PM ET,TB,0
QB,Brian Hoyer (10981188),4900,HOU@NE 09/09/2018 01:00PM ET,NE,6.23
WR,Pierre Garcon (10981655),4900,SF@MIN 09/09/2018 01:00PM ET,SF,11.62
RB,Dion Lewis (10981293),4900,TEN@MIA 09/09/2018 01:00PM ET,TEN,13.59
TE,Delanie Walker (10982175),4900,TEN@MIA 09/09/2018 01:00PM ET,TEN,10.99
QB,Landry Jones (10981189),4900,PIT@CLE 09/09/2018 01:00PM ET,PIT,3.52
QB,Teddy Bridgewater (11182400),4800,TB@NO 09/09/2018 01:00PM ET,NO,-1.3
RB,Latavius Murray (10981303),4800,SF@MIN 09/09/2018 01:00PM ET,MIN,10.17
WR,Rishard Matthews (10981657),4800,TEN@MIA 09/09/2018 01:00PM ET,TEN,10.46
RB,Marlon Mack (10981305),4800,CIN@IND 09/09/2018 01:00PM ET,IND,7.38
RB,Rashaad Penny (10981301),4800,SEA@DEN 09/09/2018 04:25PM ET,SEA,0
QB,Eli Manning (10981193),4700,JAX@NYG 09/09/2018 01:00PM ET,NYG,14.09
TE,Evan Engram (10982177),4700,JAX@NYG 09/09/2018 01:00PM ET,NYG,11.57
WR,Kenny Stills (10981659),4700,TEN@MIA 09/09/2018 01:00PM ET,MIA,11.23
QB,Mason Rudolph (10981194),4700,PIT@CLE 09/09/2018 01:00PM ET,PIT,0
RB,Duke Johnson Jr. (10981307),4700,PIT@CLE 09/09/2018 01:00PM ET,CLE,13.63
WR,Allen Hurns (10981661),4700,DAL@CAR 09/09/2018 04:25PM ET,DAL,9.12
QB,Josh Rosen (10981192),4700,WAS@ARI 09/09/2018 04:25PM ET,ARI,0
RB,Chris Thompson (10981309),4700,WAS@ARI 09/09/2018 04:25PM ET,WAS,15.94
RB,Adrian Peterson (11182403),4700,WAS@ARI 09/09/2018 04:25PM ET,WAS,8.69
QB,Lamar Jackson (10981196),4600,BUF@BAL 09/09/2018 01:00PM ET,BAL,0
QB,AJ McCarron (10981197),4600,BUF@BAL 09/09/2018 01:00PM ET,BUF,0.88
WR,DeSean Jackson (10981665),4600,TB@NO 09/09/2018 01:00PM ET,TB,10.11
QB,Brandon Weeden (10981198),4600,HOU@NE 09/09/2018 01:00PM ET,HOU,0
QB,Trevor Siemian (10981191),4600,SF@MIN 09/09/2018 01:00PM ET,MIN,13.19
RB,Matt Breida (10981313),4600,SF@MIN 09/09/2018 01:00PM ET,SF,6.47
