Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
21514-28181,RB,Le'Veon,Le'Veon Bell,Bell,18.26666641,6,15000,CIN@PIT,PIT,CIN,,
21514-11612,WR,Antonio,Antonio Brown,Brown,17.66666667,6,14500,CIN@PIT,PIT,CIN,,
21514-52922,RB,Leonard,Leonard Fournette,Fournette,20.44999949,6,14500,JAC@IND,JAC,IND,Q,Ankle
21514-30447,RB,Todd,Todd Gurley II,Gurley II,21.01666641,6,13500,ARI@LAR,LAR,ARI,,
21514-14187,WR,A.J.,A.J. Green,Green,16.48000031,5,13500,CIN@PIT,CIN,PIT,,
21514-11435,WR,Dez,Dez Bryant,Bryant,10.98000031,5,13000,DAL@SF,DAL,SF,,
21514-11460,WR,Rob,Rob Gronkowski,Gronkowski,15.41999969,5,13000,ATL@NE,NE,ATL,,
21514-6498,QB,Tom,Tom Brady,Brady,21.41000112,6,13000,ATL@NE,NE,ATL,,
21514-6779,RB,LeSean,LeSean McCoy,McCoy,12.05999985,5,13000,TB@BUF,BUF,TB,,
21514-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,15.83999939,5,13000,DAL@SF,DAL,SF,,
21514-28900,RB,Melvin,Melvin Gordon,Gordon,18.96666718,6,12500,DEN@LAC,LAC,DEN,Q,Shoulder
21514-6504,QB,Drew,Drew Brees,Brees,18.24799957,5,12500,NO@GB,NO,GB,,
21514-32384,WR,Mike,Mike Evans,Evans,13.71999969,5,12500,TB@BUF,TB,BUF,,
21514-24920,RB,Devonta,Devonta Freeman,Freeman,15.78000031,5,12000,ATL@NE,ATL,NE,,
21514-6616,QB,Matt,Matt Ryan,Ryan,14.57599945,5,12000,ATL@NE,ATL,NE,,
21514-6883,WR,Larry,Larry Fitzgerald,Fitzgerald,13.91666667,6,12000,ARI@LAR,ARI,LAR,,
21514-29501,WR,Brandin,Brandin Cooks,Cooks,12.36666616,6,12000,ATL@NE,NE,ATL,,
21514-14190,WR,Julio,Julio Jones,Jones,9.840000153,5,12000,ATL@NE,ATL,NE,,
21514-14211,RB,Mark,Mark Ingram,Ingram,12.9,5,12000,NO@GB,NO,GB,,
21514-42142,RB,Jordan,Jordan Howard,Howard,13.81666692,6,11500,CAR@CHI,CHI,CAR,,
21514-21970,RB,Doug,Doug Martin,Martin,14.80000019,2,11500,TB@BUF,TB,BUF,,
21514-22031,WR,T.Y.,T.Y. Hilton,Hilton,10.83333333,6,11500,JAC@IND,IND,JAC,,
21514-6703,RB,Adrian,Adrian Peterson,Peterson,6.980000305,5,11500,ARI@LAR,ARI,LAR,,
21514-29358,QB,Marcus,Marcus Mariota,Mariota,17.10399933,5,11500,TEN@CLE,TEN,CLE,,
21514-46882,RB,Jay,Jay Ajayi,Ajayi,8.580000305,5,11500,NYJ@MIA,MIA,NYJ,Q,Knee
21514-14185,QB,Cam,Cam Newton,Newton,20.1899999,6,11500,CAR@CHI,CAR,CHI,Q,Shoulder
21514-28573,WR,Michael,Michael Thomas,Thomas,11.61999969,5,11500,NO@GB,NO,GB,,
21514-54608,RB,Jerick,Jerick McKinnon,McKinnon,9.099999746,6,11000,BAL@MIN,MIN,BAL,,
21514-14704,WR,Chris,Chris Hogan,Hogan,12.40000025,6,11000,ATL@NE,NE,ATL,Q,Ribs
21514-22015,QB,Russell,Russell Wilson,Wilson,19.85599976,5,11000,SEA@NYG,SEA,NYG,,
21514-29249,RB,C.J.,C.J. Anderson,Anderson,11.68000031,5,11000,DEN@LAC,DEN,LAC,,
21514-28473,RB,Carlos,Carlos Hyde,Hyde,14.28333282,6,11000,DAL@SF,SF,DAL,,
21514-6893,WR,Jordy,Jordy Nelson,Nelson,15.5,5,10500,NO@GB,GB,NO,,
21514-55050,RB,Christian,Christian McCaffrey,McCaffrey,11.36666616,6,10500,CAR@CHI,CAR,CHI,,
21514-14254,RB,DeMarco,DeMarco Murray,Murray,9.483333588,6,10500,TEN@CLE,TEN,CLE,Q,Hamstring
21514-31716,QB,Dak,Dak Prescott,Prescott,22.45599976,5,10500,DAL@SF,DAL,SF,,
21514-62497,RB,David,David Johnson,Johnson,10,1,10000,ARI@LAR,ARI,LAR,IR,Wrist
21514-29734,RB,Ty,Ty Montgomery,Montgomery,11.74000015,5,10000,NO@GB,GB,NO,,
21514-24849,QB,Jameis,Jameis Winston,Winston,15.67200012,5,10000,TB@BUF,TB,BUF,Q,Shoulder
21514-14626,WR,Doug,Doug Baldwin,Baldwin,9.919999695,5,10000,SEA@NYG,SEA,NYG,,
21514-21939,QB,Andrew,Andrew Luck,Luck,21.38000081,15,10000,JAC@IND,IND,JAC,O,Shoulder - labrum
21514-40442,RB,Aaron,Aaron Jones,Jones,11.83333333,3,10000,NO@GB,GB,NO,,
21514-29253,WR,Keenan,Keenan Allen,Allen,11.18333308,6,10000,DEN@LAC,LAC,DEN,Q,Shoulder
21514-29645,RB,Javorius,Javorius Allen,Allen,10.5,6,10000,BAL@MIN,BAL,MIN,,
21514-42104,RB,Alvin,Alvin Kamara,Kamara,11.04000015,5,9500,NO@GB,NO,GB,,
21514-27776,RB,Tevin,Tevin Coleman,Coleman,11.2,5,9500,ATL@NE,ATL,NE,,
21514-11432,WR,Demaryius,Demaryius Thomas,Thomas,10,5,9500,DEN@LAC,DEN,LAC,Q,Lower leg
21514-25079,WR,Stefon,Stefon Diggs,Diggs,14.96000061,5,9500,BAL@MIN,MIN,BAL,Q,Groin
21514-38435,QB,Jared,Jared Goff,Goff,14.92666626,6,9500,ARI@LAR,LAR,ARI,,
21514-31394,WR,Jarvis,Jarvis Landry,Landry,11.5,5,9500,NYJ@MIA,MIA,NYJ,,
21514-28434,QB,Trevor,Trevor Siemian,Siemian,17.21199951,5,9500,DEN@LAC,DEN,LAC,,
21514-39716,WR,Adam,Adam Thielen,Thielen,10.81666692,6,9500,BAL@MIN,MIN,BAL,,
21514-14320,RB,Bilal,Bilal Powell,Powell,9.940000153,5,9500,NYJ@MIA,NYJ,MIA,,
21514-44103,RB,Elijah,Elijah McGuire,McGuire,6.359999847,5,9000,NYJ@MIA,NYJ,MIA,,
21514-52442,RB,Joe,Joe Mixon,Mixon,7.6,5,9000,CIN@PIT,CIN,PIT,,
21514-11505,WR,Emmanuel,Emmanuel Sanders,Sanders,10.21999969,5,9000,DEN@LAC,DEN,LAC,O,Ankle
21514-24929,WR,Kelvin,Kelvin Benjamin,Benjamin,9.349999746,6,9000,CAR@CHI,CAR,CHI,Q,Knee
21514-28080,WR,Devin,Devin Funchess,Funchess,10.33333333,6,9000,CAR@CHI,CAR,CHI,,
21514-34308,QB,Blake,Blake Bortles,Bortles,13.38666662,6,9000,JAC@IND,JAC,IND,,
21514-6774,WR,Pierre,Pierre Garcon,Garcon,9.983333588,6,9000,DAL@SF,SF,DAL,,
21514-7806,RB,Darren,Darren McFadden,McFadden,3.96666654,3,9000,DAL@SF,DAL,SF,,
21514-45889,WR,Davante,Davante Adams,Adams,12.98333359,6,9000,NO@GB,GB,NO,,
21514-14225,QB,Andy,Andy Dalton,Dalton,14.08000031,5,9000,CIN@PIT,CIN,PIT,,
21514-14377,QB,Tyrod,Tyrod Taylor,Taylor,14.1,5,8500,TB@BUF,BUF,TB,,
21514-6589,QB,Ben,Ben Roethlisberger,Roethlisberger,13.03999964,6,8500,CIN@PIT,PIT,CIN,,
21514-28095,RB,Thomas,Thomas Rawls,Rawls,2.450000048,2,8500,SEA@NYG,SEA,NYG,,
21514-33260,WR,DeVante,DeVante Parker,Parker,9.774999619,4,8500,NYJ@MIA,MIA,NYJ,Q,Ankle
21514-34331,RB,Latavius,Latavius Murray,Murray,2.533333302,6,8500,BAL@MIN,MIN,BAL,,
21514-6748,QB,Carson,Carson Palmer,Palmer,17.57333374,6,8500,ARI@LAR,ARI,LAR,,
21514-22113,RB,Alfred,Alfred Morris,Morris,2.899999936,3,8500,DAL@SF,DAL,SF,,
21514-6803,QB,Josh,Josh McCown,McCown,14.09333293,6,8500,NYJ@MIA,NYJ,MIA,,
