Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
21271-28181,RB,Le'Veon,Le'Veon Bell,Bell,17.17499924,4,9500,JAC@PIT,PIT,JAC,,
21271-6894,QB,Aaron,Aaron Rodgers,Rodgers,21.48500061,4,9500,GB@DAL,GB,DAL,,
21271-45229,RB,Kareem,Kareem Hunt,Hunt,26.60000038,4,9000,KC@HOU,KC,HOU,,
21271-31360,WR,Odell,Odell Beckham Jr.,Beckham Jr.,14.16666667,3,8900,LAC@NYG,NYG,LAC,Q,Finger
21271-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,16.375,4,8900,GB@DAL,DAL,GB,,
21271-11612,WR,Antonio,Antonio Brown,Brown,14.94999981,4,8800,JAC@PIT,PIT,JAC,,
21271-6893,WR,Jordy,Jordy Nelson,Nelson,19.69999949,3,8600,GB@DAL,GB,DAL,,
21271-14187,WR,A.J.,A.J. Green,Green,14,4,8300,BUF@CIN,CIN,BUF,,
21271-6779,RB,LeSean,LeSean McCoy,McCoy,12.10000038,4,8200,BUF@CIN,BUF,CIN,,
21271-22015,QB,Russell,Russell Wilson,Wilson,21.69000053,4,8000,SEA@LAR,SEA,LAR,,
21271-6589,QB,Ben,Ben Roethlisberger,Roethlisberger,14.44499969,4,7900,JAC@PIT,PIT,JAC,,
21271-11435,WR,Dez,Dez Bryant,Bryant,10.30000019,4,7800,GB@DAL,DAL,GB,,
21271-29358,QB,Marcus,Marcus Mariota,Mariota,17.56999969,4,7800,TEN@MIA,TEN,MIA,Q,Hamstring
21271-30447,RB,Todd,Todd Gurley II,Gurley II,27.39999962,4,7800,SEA@LAR,LAR,SEA,,
21271-14185,QB,Cam,Cam Newton,Newton,17.81999969,4,7800,CAR@DET,CAR,DET,,
21271-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,14.64999962,4,7700,KC@HOU,HOU,KC,,
21271-31716,QB,Dak,Dak Prescott,Prescott,20.38500023,4,7700,GB@DAL,DAL,GB,,
21271-6654,QB,Matthew,Matthew Stafford,Stafford,16.94499969,4,7600,CAR@DET,DET,CAR,,
21271-70324,QB,Carson,Carson Wentz,Wentz,18.50499916,4,7600,ARI@PHI,PHI,ARI,,
21271-52922,RB,Leonard,Leonard Fournette,Fournette,17.75,4,7600,JAC@PIT,JAC,PIT,,
21271-45859,QB,Derek,Derek Carr,Carr,14.20499992,4,7600,BAL@OAK,OAK,BAL,O,Back
21271-29734,RB,Ty,Ty Montgomery,Montgomery,13.77499962,4,7500,GB@DAL,GB,DAL,Q,Ribs
21271-21939,QB,Andrew,Andrew Luck,Luck,21.38000081,15,7500,SF@IND,IND,SF,O,Shoulder - labrum
