Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Todd Gurley II (11575387),Todd Gurley II,11575387,RB/FLEX,9400,SEA@LAR 11/11/2018 04:25PM ET,LAR,30.33
RB,Melvin Gordon III (11575484),Melvin Gordon III,11575484,RB/FLEX,9000,LAC@OAK 11/11/2018 04:05PM ET,LAC,27.69
RB,Alvin Kamara (11574760),Alvin Kamara,11574760,RB/FLEX,8700,NO@CIN 11/11/2018 01:00PM ET,NO,28.46
RB,Saquon Barkley (11575184),Saquon Barkley,11575184,RB/FLEX,8600,NYG@SF 11/12/2018 08:15PM ET,NYG,26.2
WR,Antonio Brown (11574672),Antonio Brown,11574672,WR/FLEX,8500,CAR@PIT 11/08/2018 08:20PM ET,PIT,21.3
RB,Kareem Hunt (11575055),Kareem Hunt,11575055,RB/FLEX,8500,ARI@KC 11/11/2018 01:00PM ET,KC,22.72
RB,James Conner (11574664),James Conner,11574664,RB/FLEX,8300,CAR@PIT 11/08/2018 08:20PM ET,PIT,28.06
WR,Julio Jones (11574799),Julio Jones,11574799,WR/FLEX,8300,ATL@CLE 11/11/2018 01:00PM ET,ATL,21.8
WR,Michael Thomas (11574770),Michael Thomas,11574770,WR/FLEX,8100,NO@CIN 11/11/2018 01:00PM ET,NO,24.38
WR,Odell Beckham Jr. (11575192),Odell Beckham Jr.,11575192,WR/FLEX,7900,NYG@SF 11/12/2018 08:15PM ET,NYG,21.57
WR,Davante Adams (11574859),Davante Adams,11574859,WR/FLEX,7800,MIA@GB 11/11/2018 04:25PM ET,GB,22.75
RB,Joe Mixon (11574726),Joe Mixon,11574726,RB/FLEX,7700,NO@CIN 11/11/2018 01:00PM ET,CIN,19.07
RB,Christian McCaffrey (11574695),Christian McCaffrey,11574695,RB/FLEX,7600,CAR@PIT 11/08/2018 08:20PM ET,CAR,21.5
WR,A.J. Green (11574732),A.J. Green,11574732,WR/FLEX,7600,NO@CIN 11/11/2018 01:00PM ET,CIN,19.34
WR,Tyler Boyd (11574734),Tyler Boyd,11574734,WR/FLEX,7500,NO@CIN 11/11/2018 01:00PM ET,CIN,18.79
RB,Ezekiel Elliott (11575316),Ezekiel Elliott,11575316,RB/FLEX,7500,DAL@PHI 11/11/2018 08:20PM ET,DAL,18.95
WR,Tyreek Hill (11575065),Tyreek Hill,11575065,WR/FLEX,7300,ARI@KC 11/11/2018 01:00PM ET,KC,20.61
RB,James White (11575148),James White,11575148,RB/FLEX,7300,NE@TEN 11/11/2018 01:00PM ET,NE,21.96
RB,Le'Veon Bell (11574662),Le'Veon Bell,11574662,RB/FLEX,7200,CAR@PIT 11/08/2018 08:20PM ET,PIT,0
QB,Patrick Mahomes (11575053),Patrick Mahomes,11575053,QB,7200,ARI@KC 11/11/2018 01:00PM ET,KC,30.53
WR,Keenan Allen (11575494),Keenan Allen,11575494,WR/FLEX,7100,LAC@OAK 11/11/2018 04:05PM ET,LAC,16.05
TE,Travis Kelce (11575075),Travis Kelce,11575075,TE/FLEX,7000,ARI@KC 11/11/2018 01:00PM ET,KC,18.9
WR,Mike Evans (11575259),Mike Evans,11575259,WR/FLEX,7000,WAS@TB 11/11/2018 01:00PM ET,TB,20.08
WR,JuJu Smith-Schuster (11574674),JuJu Smith-Schuster,11574674,WR/FLEX,6900,CAR@PIT 11/08/2018 08:20PM ET,PIT,18.28
RB,David Johnson (11575086),David Johnson,11575086,RB/FLEX,6800,ARI@KC 11/11/2018 01:00PM ET,ARI,14.76
