Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Lamar Jackson (19152181),Lamar Jackson,19152181,CPT,18600,BAL@LV 09/13/2021 08:15PM ET,BAL,22.91
TE,Darren Waller (19152182),Darren Waller,19152182,CPT,16200,BAL@LV 09/13/2021 08:15PM ET,LV,18.48
QB,Derek Carr (19152183),Derek Carr,19152183,CPT,14700,BAL@LV 09/13/2021 08:15PM ET,LV,19.20
TE,Mark Andrews (19152184),Mark Andrews,19152184,CPT,13500,BAL@LV 09/13/2021 08:15PM ET,BAL,11.56
RB,Josh Jacobs (19152185),Josh Jacobs,19152185,CPT,12600,BAL@LV 09/13/2021 08:15PM ET,LV,15.95
QB,Lamar Jackson (19152126),Lamar Jackson,19152126,FLEX,12400,BAL@LV 09/13/2021 08:15PM ET,BAL,22.91
WR,Marquise Brown (19152186),Marquise Brown,19152186,CPT,11400,BAL@LV 09/13/2021 08:15PM ET,BAL,12.31
TE,Darren Waller (19152127),Darren Waller,19152127,FLEX,10800,BAL@LV 09/13/2021 08:15PM ET,LV,18.48
RB,Kenyan Drake (19152187),Kenyan Drake,19152187,CPT,10800,BAL@LV 09/13/2021 08:15PM ET,LV,13.28
RB,Ty'Son Williams (19152188),Ty'Son Williams,19152188,CPT,10200,BAL@LV 09/13/2021 08:15PM ET,BAL,0
QB,Derek Carr (19152128),Derek Carr,19152128,FLEX,9800,BAL@LV 09/13/2021 08:15PM ET,LV,19.20
RB,Latavius Murray (19152189),Latavius Murray,19152189,CPT,9300,BAL@LV 09/13/2021 08:15PM ET,BAL,9.32
TE,Mark Andrews (19152129),Mark Andrews,19152129,FLEX,9000,BAL@LV 09/13/2021 08:15PM ET,BAL,11.56
QB,Nathan Peterman (19152190),Nathan Peterman,19152190,CPT,9000,BAL@LV 09/13/2021 08:15PM ET,LV,1.9
QB,Marcus Mariota (19152191),Marcus Mariota,19152191,CPT,9000,BAL@LV 09/13/2021 08:15PM ET,LV,26.84
QB,Tyler Huntley (19152192),Tyler Huntley,19152192,CPT,9000,BAL@LV 09/13/2021 08:15PM ET,BAL,2.83
QB,Trace McSorley (19152193),Trace McSorley,19152193,CPT,9000,BAL@LV 09/13/2021 08:15PM ET,BAL,4.65
RB,Josh Jacobs (19152130),Josh Jacobs,19152130,FLEX,8400,BAL@LV 09/13/2021 08:15PM ET,LV,15.95
WR,Bryan Edwards (19152194),Bryan Edwards,19152194,CPT,8400,BAL@LV 09/13/2021 08:15PM ET,LV,4.03
WR,Sammy Watkins (19152195),Sammy Watkins,19152195,CPT,7800,BAL@LV 09/13/2021 08:15PM ET,BAL,8.34
WR,Marquise Brown (19152131),Marquise Brown,19152131,FLEX,7600,BAL@LV 09/13/2021 08:15PM ET,BAL,12.31
WR,Henry Ruggs III (19152196),Henry Ruggs III,19152196,CPT,7500,BAL@LV 09/13/2021 08:15PM ET,LV,6.85
RB,Kenyan Drake (19152132),Kenyan Drake,19152132,FLEX,7200,BAL@LV 09/13/2021 08:15PM ET,LV,13.28
DST,Ravens  (19152197),Ravens ,19152197,CPT,6900,BAL@LV 09/13/2021 08:15PM ET,BAL,8.56
RB,Ty'Son Williams (19152133),Ty'Son Williams,19152133,FLEX,6800,BAL@LV 09/13/2021 08:15PM ET,BAL,0
RB,Le'Veon Bell (19152198),Le'Veon Bell,19152198,CPT,6300,BAL@LV 09/13/2021 08:15PM ET,BAL,6.27
RB,Latavius Murray (19152134),Latavius Murray,19152134,FLEX,6200,BAL@LV 09/13/2021 08:15PM ET,BAL,9.32
QB,Nathan Peterman (19152135),Nathan Peterman,19152135,FLEX,6000,BAL@LV 09/13/2021 08:15PM ET,LV,1.9
QB,Marcus Mariota (19152136),Marcus Mariota,19152136,FLEX,6000,BAL@LV 09/13/2021 08:15PM ET,LV,26.84
QB,Tyler Huntley (19152137),Tyler Huntley,19152137,FLEX,6000,BAL@LV 09/13/2021 08:15PM ET,BAL,2.83
QB,Trace McSorley (19152138),Trace McSorley,19152138,FLEX,6000,BAL@LV 09/13/2021 08:15PM ET,BAL,4.65
K,Justin Tucker (19152199),Justin Tucker,19152199,CPT,6000,BAL@LV 09/13/2021 08:15PM ET,BAL,8.78
K,Jake Verity (19152200),Jake Verity,19152200,CPT,6000,BAL@LV 09/13/2021 08:15PM ET,BAL,0
WR,Bryan Edwards (19152139),Bryan Edwards,19152139,FLEX,5600,BAL@LV 09/13/2021 08:15PM ET,LV,4.03
K,Daniel Carlson (19152201),Daniel Carlson,19152201,CPT,5400,BAL@LV 09/13/2021 08:15PM ET,LV,9.69
WR,Sammy Watkins (19152140),Sammy Watkins,19152140,FLEX,5200,BAL@LV 09/13/2021 08:15PM ET,BAL,8.34
WR,Henry Ruggs III (19152141),Henry Ruggs III,19152141,FLEX,5000,BAL@LV 09/13/2021 08:15PM ET,LV,6.85
DST,Ravens  (19152142),Ravens ,19152142,FLEX,4600,BAL@LV 09/13/2021 08:15PM ET,BAL,8.56
DST,Raiders  (19152202),Raiders ,19152202,CPT,4500,BAL@LV 09/13/2021 08:15PM ET,LV,2.69
RB,Le'Veon Bell (19152143),Le'Veon Bell,19152143,FLEX,4200,BAL@LV 09/13/2021 08:15PM ET,BAL,6.27
WR,Hunter Renfrow (19152203),Hunter Renfrow,19152203,CPT,4200,BAL@LV 09/13/2021 08:15PM ET,LV,8.29
K,Justin Tucker (19152144),Justin Tucker,19152144,FLEX,4000,BAL@LV 09/13/2021 08:15PM ET,BAL,8.78
K,Jake Verity (19152145),Jake Verity,19152145,FLEX,4000,BAL@LV 09/13/2021 08:15PM ET,BAL,0
WR,Devin Duvernay (19152204),Devin Duvernay,19152204,CPT,3900,BAL@LV 09/13/2021 08:15PM ET,BAL,3.12
K,Daniel Carlson (19152146),Daniel Carlson,19152146,FLEX,3600,BAL@LV 09/13/2021 08:15PM ET,LV,9.69
RB,Devonta Freeman (19152205),Devonta Freeman,19152205,CPT,3300,BAL@LV 09/13/2021 08:15PM ET,BAL,7.2
DST,Raiders  (19152147),Raiders ,19152147,FLEX,3000,BAL@LV 09/13/2021 08:15PM ET,LV,2.69
RB,Peyton Barber (19152206),Peyton Barber,19152206,CPT,3000,BAL@LV 09/13/2021 08:15PM ET,LV,3.67
WR,Hunter Renfrow (19152148),Hunter Renfrow,19152148,FLEX,2800,BAL@LV 09/13/2021 08:15PM ET,LV,8.29
WR,Zay Jones (19152207),Zay Jones,19152207,CPT,2700,BAL@LV 09/13/2021 08:15PM ET,LV,3.32
WR,Devin Duvernay (19152149),Devin Duvernay,19152149,FLEX,2600,BAL@LV 09/13/2021 08:15PM ET,BAL,3.12
RB,Devonta Freeman (19152150),Devonta Freeman,19152150,FLEX,2200,BAL@LV 09/13/2021 08:15PM ET,BAL,7.2
RB,Trenton Cannon (19152208),Trenton Cannon,19152208,CPT,2100,BAL@LV 09/13/2021 08:15PM ET,BAL,0.66
RB,Peyton Barber (19152151),Peyton Barber,19152151,FLEX,2000,BAL@LV 09/13/2021 08:15PM ET,LV,3.67
WR,Zay Jones (19152152),Zay Jones,19152152,FLEX,1800,BAL@LV 09/13/2021 08:15PM ET,LV,3.32
WR,Willie Snead IV (19152209),Willie Snead IV,19152209,CPT,1800,BAL@LV 09/13/2021 08:15PM ET,LV,7.17
TE,Foster Moreau (19152210),Foster Moreau,19152210,CPT,1500,BAL@LV 09/13/2021 08:15PM ET,LV,4.12
RB,Trenton Cannon (19152153),Trenton Cannon,19152153,FLEX,1400,BAL@LV 09/13/2021 08:15PM ET,BAL,0.66
WR,Willie Snead IV (19152154),Willie Snead IV,19152154,FLEX,1200,BAL@LV 09/13/2021 08:15PM ET,LV,7.17
TE,Eric Tomlinson (19152211),Eric Tomlinson,19152211,CPT,1200,BAL@LV 09/13/2021 08:15PM ET,BAL,0
TE,Foster Moreau (19152155),Foster Moreau,19152155,FLEX,1000,BAL@LV 09/13/2021 08:15PM ET,LV,4.12
TE,Nick Boyle (19152212),Nick Boyle,19152212,CPT,900,BAL@LV 09/13/2021 08:15PM ET,BAL,4.14
TE,Eric Tomlinson (19152156),Eric Tomlinson,19152156,FLEX,800,BAL@LV 09/13/2021 08:15PM ET,BAL,0
TE,Nick Boyle (19152157),Nick Boyle,19152157,FLEX,600,BAL@LV 09/13/2021 08:15PM ET,BAL,4.14
TE,Derek Carrier (19152213),Derek Carrier,19152213,CPT,600,BAL@LV 09/13/2021 08:15PM ET,LV,0.34
TE,Derek Carrier (19152158),Derek Carrier,19152158,FLEX,400,BAL@LV 09/13/2021 08:15PM ET,LV,0.34
WR,Miles Boykin (19152214),Miles Boykin,19152214,CPT,300,BAL@LV 09/13/2021 08:15PM ET,BAL,4.66
RB,Jalen Richard (19152215),Jalen Richard,19152215,CPT,300,BAL@LV 09/13/2021 08:15PM ET,LV,3.93
RB,Gus Edwards (19152216),Gus Edwards,19152216,CPT,300,BAL@LV 09/13/2021 08:15PM ET,BAL,7.79
RB,Justice Hill (19152217),Justice Hill,19152217,CPT,300,BAL@LV 09/13/2021 08:15PM ET,BAL,1.08
RB,J.K. Dobbins (19152218),J.K. Dobbins,19152218,CPT,300,BAL@LV 09/13/2021 08:15PM ET,BAL,11.62
TE,Matt Bushman (19152219),Matt Bushman,19152219,CPT,300,BAL@LV 09/13/2021 08:15PM ET,LV,0
WR,Dillon Stoner (19152220),Dillon Stoner,19152220,CPT,300,BAL@LV 09/13/2021 08:15PM ET,LV,0
WR,Binjimen Victor (19152221),Binjimen Victor,19152221,CPT,300,BAL@LV 09/13/2021 08:15PM ET,BAL,0
RB,Trey Ragas (19152222),Trey Ragas,19152222,CPT,300,BAL@LV 09/13/2021 08:15PM ET,LV,0
