Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Derek Carr (11536081),Derek Carr,11536081,CPT,16500,OAK@SF 11/01/2018 08:20PM ET,OAK,18.81
QB,C.J. Beathard (11536082),C.J. Beathard,11536082,CPT,14700,OAK@SF 11/01/2018 08:20PM ET,SF,14.66
TE,Jared Cook (11536083),Jared Cook,11536083,CPT,14100,OAK@SF 11/01/2018 08:20PM ET,OAK,15.34
TE,George Kittle (11536084),George Kittle,11536084,CPT,13500,OAK@SF 11/01/2018 08:20PM ET,SF,14.05
RB,Matt Breida (11536085),Matt Breida,11536085,CPT,12900,OAK@SF 11/01/2018 08:20PM ET,SF,11.09
WR,Marquise Goodwin (11536086),Marquise Goodwin,11536086,CPT,12600,OAK@SF 11/01/2018 08:20PM ET,SF,10.93
RB,Jalen Richard (11536087),Jalen Richard,11536087,CPT,11700,OAK@SF 11/01/2018 08:20PM ET,OAK,10.56
WR,Jordy Nelson (11536088),Jordy Nelson,11536088,CPT,11400,OAK@SF 11/01/2018 08:20PM ET,OAK,11.39
QB,Derek Carr (11536042),Derek Carr,11536042,FLEX,11000,OAK@SF 11/01/2018 08:20PM ET,OAK,18.81
QB,AJ McCarron (11536089),AJ McCarron,11536089,CPT,10200,OAK@SF 11/01/2018 08:20PM ET,OAK,0
QB,Nick Mullens (11536090),Nick Mullens,11536090,CPT,10200,OAK@SF 11/01/2018 08:20PM ET,SF,0
QB,Tom Savage (11536091),Tom Savage,11536091,CPT,10200,OAK@SF 11/01/2018 08:20PM ET,SF,0
QB,C.J. Beathard (11536043),C.J. Beathard,11536043,FLEX,9800,OAK@SF 11/01/2018 08:20PM ET,SF,14.66
RB,Doug Martin (11536092),Doug Martin,11536092,CPT,9600,OAK@SF 11/01/2018 08:20PM ET,OAK,3.47
TE,Jared Cook (11536044),Jared Cook,11536044,FLEX,9400,OAK@SF 11/01/2018 08:20PM ET,OAK,15.34
TE,George Kittle (11536045),George Kittle,11536045,FLEX,9000,OAK@SF 11/01/2018 08:20PM ET,SF,14.05
WR,Seth Roberts (11536093),Seth Roberts,11536093,CPT,8700,OAK@SF 11/01/2018 08:20PM ET,OAK,7.83
RB,Matt Breida (11536046),Matt Breida,11536046,FLEX,8600,OAK@SF 11/01/2018 08:20PM ET,SF,11.09
WR,Marquise Goodwin (11536047),Marquise Goodwin,11536047,FLEX,8400,OAK@SF 11/01/2018 08:20PM ET,SF,10.93
WR,Kendrick Bourne (11536094),Kendrick Bourne,11536094,CPT,8400,OAK@SF 11/01/2018 08:20PM ET,SF,6.01
WR,Brandon LaFell (11536095),Brandon LaFell,11536095,CPT,8100,OAK@SF 11/01/2018 08:20PM ET,OAK,4.3
RB,Jalen Richard (11536048),Jalen Richard,11536048,FLEX,7800,OAK@SF 11/01/2018 08:20PM ET,OAK,10.56
WR,Jordy Nelson (11536049),Jordy Nelson,11536049,FLEX,7600,OAK@SF 11/01/2018 08:20PM ET,OAK,11.39
WR,Pierre Garcon (11536096),Pierre Garcon,11536096,CPT,7200,OAK@SF 11/01/2018 08:20PM ET,SF,6.29
RB,Raheem Mostert (11536097),Raheem Mostert,11536097,CPT,6900,OAK@SF 11/01/2018 08:20PM ET,SF,3.12
QB,AJ McCarron (11536050),AJ McCarron,11536050,FLEX,6800,OAK@SF 11/01/2018 08:20PM ET,OAK,0
QB,Nick Mullens (11536051),Nick Mullens,11536051,FLEX,6800,OAK@SF 11/01/2018 08:20PM ET,SF,0
QB,Tom Savage (11536052),Tom Savage,11536052,FLEX,6800,OAK@SF 11/01/2018 08:20PM ET,SF,0
RB,Doug Martin (11536053),Doug Martin,11536053,FLEX,6400,OAK@SF 11/01/2018 08:20PM ET,OAK,3.47
WR,Trent Taylor (11536098),Trent Taylor,11536098,CPT,6300,OAK@SF 11/01/2018 08:20PM ET,SF,5.4
WR,Seth Roberts (11536054),Seth Roberts,11536054,FLEX,5800,OAK@SF 11/01/2018 08:20PM ET,OAK,7.83
WR,Kendrick Bourne (11536055),Kendrick Bourne,11536055,FLEX,5600,OAK@SF 11/01/2018 08:20PM ET,SF,6.01
WR,Brandon LaFell (11536056),Brandon LaFell,11536056,FLEX,5400,OAK@SF 11/01/2018 08:20PM ET,OAK,4.3
K,Robbie Gould (11536099),Robbie Gould,11536099,CPT,5400,OAK@SF 11/01/2018 08:20PM ET,SF,8.62
K,Daniel Carlson (11536100),Daniel Carlson,11536100,CPT,5100,OAK@SF 11/01/2018 08:20PM ET,OAK,4.67
WR,Pierre Garcon (11536057),Pierre Garcon,11536057,FLEX,4800,OAK@SF 11/01/2018 08:20PM ET,SF,6.29
RB,Raheem Mostert (11536058),Raheem Mostert,11536058,FLEX,4600,OAK@SF 11/01/2018 08:20PM ET,SF,3.12
WR,Martavis Bryant (11536101),Martavis Bryant,11536101,CPT,4500,OAK@SF 11/01/2018 08:20PM ET,OAK,5.9
WR,Trent Taylor (11536059),Trent Taylor,11536059,FLEX,4200,OAK@SF 11/01/2018 08:20PM ET,SF,5.4
DST,49ers  (11536102),49ers ,11536102,CPT,4200,OAK@SF 11/01/2018 08:20PM ET,SF,3.25
DST,Raiders  (11536103),Raiders ,11536103,CPT,3900,OAK@SF 11/01/2018 08:20PM ET,OAK,2.43
K,Robbie Gould (11536060),Robbie Gould,11536060,FLEX,3600,OAK@SF 11/01/2018 08:20PM ET,SF,8.62
RB,Alfred Morris (11536104),Alfred Morris,11536104,CPT,3600,OAK@SF 11/01/2018 08:20PM ET,SF,5.71
K,Daniel Carlson (11536061),Daniel Carlson,11536061,FLEX,3400,OAK@SF 11/01/2018 08:20PM ET,OAK,4.67
WR,Dante Pettis (11536105),Dante Pettis,11536105,CPT,3300,OAK@SF 11/01/2018 08:20PM ET,SF,3.72
WR,Martavis Bryant (11536062),Martavis Bryant,11536062,FLEX,3000,OAK@SF 11/01/2018 08:20PM ET,OAK,5.9
DST,49ers  (11536063),49ers ,11536063,FLEX,2800,OAK@SF 11/01/2018 08:20PM ET,SF,3.25
DST,Raiders  (11536064),Raiders ,11536064,FLEX,2600,OAK@SF 11/01/2018 08:20PM ET,OAK,2.43
RB,Alfred Morris (11536065),Alfred Morris,11536065,FLEX,2400,OAK@SF 11/01/2018 08:20PM ET,SF,5.71
RB,Kyle Juszczyk (11536106),Kyle Juszczyk,11536106,CPT,2400,OAK@SF 11/01/2018 08:20PM ET,SF,6.28
WR,Dante Pettis (11536066),Dante Pettis,11536066,FLEX,2200,OAK@SF 11/01/2018 08:20PM ET,SF,3.72
RB,DeAndre Washington (11536107),DeAndre Washington,11536107,CPT,1800,OAK@SF 11/01/2018 08:20PM ET,OAK,0.4
RB,Kyle Juszczyk (11536067),Kyle Juszczyk,11536067,FLEX,1600,OAK@SF 11/01/2018 08:20PM ET,SF,6.28
RB,DeAndre Washington (11536068),DeAndre Washington,11536068,FLEX,1200,OAK@SF 11/01/2018 08:20PM ET,OAK,0.4
TE,Garrett Celek (11536108),Garrett Celek,11536108,CPT,900,OAK@SF 11/01/2018 08:20PM ET,SF,1.49
TE,Garrett Celek (11536069),Garrett Celek,11536069,FLEX,600,OAK@SF 11/01/2018 08:20PM ET,SF,1.49
WR,Richie James Jr. (11536109),Richie James Jr.,11536109,CPT,600,OAK@SF 11/01/2018 08:20PM ET,SF,0.34
TE,Derek Carrier (11536110),Derek Carrier,11536110,CPT,600,OAK@SF 11/01/2018 08:20PM ET,OAK,0.79
WR,Richie James Jr. (11536070),Richie James Jr.,11536070,FLEX,400,OAK@SF 11/01/2018 08:20PM ET,SF,0.34
TE,Derek Carrier (11536071),Derek Carrier,11536071,FLEX,400,OAK@SF 11/01/2018 08:20PM ET,OAK,0.79
WR,Marcell Ateman (11536111),Marcell Ateman,11536111,CPT,300,OAK@SF 11/01/2018 08:20PM ET,OAK,0
RB,Marshawn Lynch (11536112),Marshawn Lynch,11536112,CPT,300,OAK@SF 11/01/2018 08:20PM ET,OAK,13.67
RB,Keith Smith (11536113),Keith Smith,11536113,CPT,300,OAK@SF 11/01/2018 08:20PM ET,OAK,0.89
WR,Dwayne Harris (11536114),Dwayne Harris,11536114,CPT,300,OAK@SF 11/01/2018 08:20PM ET,OAK,1
TE,Lee Smith (11536115),Lee Smith,11536115,CPT,300,OAK@SF 11/01/2018 08:20PM ET,OAK,0.76
QB,Jimmy Garoppolo (11536116),Jimmy Garoppolo,11536116,CPT,300,OAK@SF 11/01/2018 08:20PM ET,SF,17.01
WR,Victor Bolden Jr. (11536117),Victor Bolden Jr.,11536117,CPT,300,OAK@SF 11/01/2018 08:20PM ET,SF,0.5
TE,Ross Dwelley (11536118),Ross Dwelley,11536118,CPT,300,OAK@SF 11/01/2018 08:20PM ET,SF,0
TE,Kyle Nelson (11536119),Kyle Nelson,11536119,CPT,300,OAK@SF 11/01/2018 08:20PM ET,SF,0
WR,Marcell Ateman (11536072),Marcell Ateman,11536072,FLEX,200,OAK@SF 11/01/2018 08:20PM ET,OAK,0
RB,Marshawn Lynch (11536073),Marshawn Lynch,11536073,FLEX,200,OAK@SF 11/01/2018 08:20PM ET,OAK,13.67
RB,Keith Smith (11536074),Keith Smith,11536074,FLEX,200,OAK@SF 11/01/2018 08:20PM ET,OAK,0.89
WR,Dwayne Harris (11536075),Dwayne Harris,11536075,FLEX,200,OAK@SF 11/01/2018 08:20PM ET,OAK,1
