Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Todd Gurley II (11254665),Todd Gurley II,11254665,RB/FLEX,9200,ARI@LAR 09/16/2018 04:05PM ET,LAR,26.7
RB,David Johnson (11254599),David Johnson,11254599,RB/FLEX,8200,ARI@LAR 09/16/2018 04:05PM ET,ARI,17.7
TE,Rob Gronkowski (11254548),Rob Gronkowski,11254548,TE/FLEX,7000,NE@JAX 09/16/2018 04:25PM ET,NE,27.3
RB,Leonard Fournette (11254730),Leonard Fournette,11254730,RB/FLEX,6800,NE@JAX 09/16/2018 04:25PM ET,JAX,8.5
WR,Amari Cooper (11254645),Amari Cooper,11254645,WR/FLEX,6600,OAK@DEN 09/16/2018 04:25PM ET,OAK,2.8
WR,Golden Tate (11254558),Golden Tate,11254558,WR/FLEX,6500,DET@SF 09/16/2018 04:05PM ET,DET,20.9
QB,Tom Brady (11254512),Tom Brady,11254512,QB,6500,NE@JAX 09/16/2018 04:25PM ET,NE,22.28
QB,Jared Goff (11254685),Jared Goff,11254685,QB,6300,ARI@LAR 09/16/2018 04:05PM ET,LAR,17.22
WR,Marvin Jones Jr. (11254566),Marvin Jones Jr.,11254566,WR/FLEX,6200,DET@SF 09/16/2018 04:05PM ET,DET,9.4
WR,Emmanuel Sanders (11254530),Emmanuel Sanders,11254530,WR/FLEX,6200,OAK@DEN 09/16/2018 04:25PM ET,DEN,32.5
QB,Matthew Stafford (11254529),Matthew Stafford,11254529,QB,6100,DET@SF 09/16/2018 04:05PM ET,DET,12.04
WR,Brandin Cooks (11254643),Brandin Cooks,11254643,WR/FLEX,6100,ARI@LAR 09/16/2018 04:05PM ET,LAR,14.3
QB,Jimmy Garoppolo (11254601),Jimmy Garoppolo,11254601,QB,6000,DET@SF 09/16/2018 04:05PM ET,SF,12.04
WR,Larry Fitzgerald (11254518),Larry Fitzgerald,11254518,WR/FLEX,6000,ARI@LAR 09/16/2018 04:05PM ET,ARI,14.6
WR,Julian Edelman (11254541),Julian Edelman,11254541,WR/FLEX,6000,NE@JAX 09/16/2018 04:25PM ET,NE,0
WR,Robert Woods (11254602),Robert Woods,11254602,WR/FLEX,5900,ARI@LAR 09/16/2018 04:05PM ET,LAR,7.3
