Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Carson Wentz (11426327),Carson Wentz,11426327,CPT,17400,PHI@NYG 10/11/2018 08:20PM ET,PHI,20.99
WR,Odell Beckham Jr. (11426328),Odell Beckham Jr.,11426328,CPT,16200,PHI@NYG 10/11/2018 08:20PM ET,NYG,21.28
RB,Saquon Barkley (11426329),Saquon Barkley,11426329,CPT,15600,PHI@NYG 10/11/2018 08:20PM ET,NYG,24.44
QB,Eli Manning (11426330),Eli Manning,11426330,CPT,14700,PHI@NYG 10/11/2018 08:20PM ET,NYG,16.49
TE,Zach Ertz (11426331),Zach Ertz,11426331,CPT,14400,PHI@NYG 10/11/2018 08:20PM ET,PHI,19.34
WR,Alshon Jeffery (11426332),Alshon Jeffery,11426332,CPT,12000,PHI@NYG 10/11/2018 08:20PM ET,PHI,16.7
WR,Sterling Shepard (11426333),Sterling Shepard,11426333,CPT,11700,PHI@NYG 10/11/2018 08:20PM ET,NYG,14.48
QB,Carson Wentz (11426288),Carson Wentz,11426288,FLEX,11600,PHI@NYG 10/11/2018 08:20PM ET,PHI,20.99
WR,Odell Beckham Jr. (11426289),Odell Beckham Jr.,11426289,FLEX,10800,PHI@NYG 10/11/2018 08:20PM ET,NYG,21.28
WR,Nelson Agholor (11426334),Nelson Agholor,11426334,CPT,10800,PHI@NYG 10/11/2018 08:20PM ET,PHI,11.72
RB,Saquon Barkley (11426290),Saquon Barkley,11426290,FLEX,10400,PHI@NYG 10/11/2018 08:20PM ET,NYG,24.44
QB,Nick Foles (11426335),Nick Foles,11426335,CPT,9900,PHI@NYG 10/11/2018 08:20PM ET,PHI,12.87
QB,Kyle Lauletta (11426336),Kyle Lauletta,11426336,CPT,9900,PHI@NYG 10/11/2018 08:20PM ET,NYG,0
QB,Alex Tanney (11426337),Alex Tanney,11426337,CPT,9900,PHI@NYG 10/11/2018 08:20PM ET,NYG,0
QB,Eli Manning (11426291),Eli Manning,11426291,FLEX,9800,PHI@NYG 10/11/2018 08:20PM ET,NYG,16.49
TE,Zach Ertz (11426292),Zach Ertz,11426292,FLEX,9600,PHI@NYG 10/11/2018 08:20PM ET,PHI,19.34
