Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107295+AC0-64401,RB,Saquon,Saquon Barkley,Barkley,28.4666671753,3,9700,PHI+AEA-TB,PHI,TB,,,,,,RB/FLEX
107295+AC0-85671,WR,Justin,Justin Jefferson,Jefferson,18.433333079,3,9400,MIN+AEA-GB,MIN,GB,,,,,,WR/FLEX
107295+AC0-62239,QB,Josh,Josh Allen,Allen,23.9533335368,3,9200,BUF+AEA-BAL,BUF,BAL,,,,,,QB
107295+AC0-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,14.8333333333,3,9200,CIN+AEA-CAR,CIN,CAR,,,,,,WR/FLEX
107295+AC0-63115,QB,Lamar,Lamar Jackson,Jackson,23.8266677856,3,8900,BUF+AEA-BAL,BAL,BUF,,,,,,QB
107295+AC0-86875,RB,Jordan,Jordan Mason,Mason,18.133333842,3,8800,NE+AEA-SF,SF,NE,,,,,,RB/FLEX
107295+AC0-63484,QB,Kyler,Kyler Murray,Murray,19.5,3,8700,WAS+AEA-ARI,ARI,WAS,,,,,,QB
107295+AC0-42104,RB,Alvin,Alvin Kamara,Kamara,26.5666656494,3,8600,NO+AEA-ATL,NO,ATL,Q,Ribs,,,,RB/FLEX
107295+AC0-69531,QB,Jalen,Jalen Hurts,Hurts,19.3933334351,3,8600,PHI+AEA-TB,PHI,TB,,,,,,QB
107295+AC0-57439,QB,Patrick,Patrick Mahomes,Mahomes,15.9866663615,3,8500,KC+AEA-LAC,KC,LAC,,,,,,QB
107295+AC0-111311,WR,Rashee,Rashee Rice,Rice,19.633333842,3,8500,KC+AEA-LAC,KC,LAC,,,,,,WR/FLEX
107295+AC0-39280,RB,Derrick,Derrick Henry,Henry,19.866666158,3,8400,BUF+AEA-BAL,BAL,BUF,,,,,,RB/FLEX
107295+AC0-72846,WR,A.J.,A.J. Brown,Brown,23.3999996185,1,8300,PHI+AEA-TB,PHI,TB,O,Hamstring,,,,WR/FLEX
107295+AC0-136855,RB,Bijan,Bijan Robinson,Robinson,13.3333333333,3,8300,NO+AEA-ATL,ATL,NO,,,,,,RB/FLEX
107295+AC0-102785,QB,Jayden,Jayden Daniels,Daniels,23.2200012207,3,8200,WAS+AEA-ARI,WAS,ARI,,,,,,QB
107295+AC0-152651,WR,Marvin,Marvin Harrison Jr.,Harrison Jr.,15.2666664124,3,8200,WAS+AEA-ARI,ARI,WAS,,,,,,WR/FLEX
107295+AC0-89675,RB,Jonathan,Jonathan Taylor,Taylor,19.0999997457,3,8200,PIT+AEA-IND,IND,PIT,,,,,,RB/FLEX
107295+AC0-79970,WR,Cooper,Cooper Kupp,Kupp,16.8500003815,2,8100,LAR+AEA-CHI,LAR,CHI,O,Ankle,,,,WR/FLEX
107295+AC0-104433,RB,Kyren,Kyren Williams,Williams,18.9000002543,3,8100,LAR+AEA-CHI,LAR,CHI,,,,,,RB/FLEX
107295+AC0-103064,RB,Breece,Breece Hall,Hall,17.6666666667,3,8000,DEN+AEA-NYJ,NYJ,DEN,,,,,,RB/FLEX
107295+AC0-32384,WR,Mike,Mike Evans,Evans,9.6666666667,3,8000,PHI+AEA-TB,TB,PHI,,,,,,WR/FLEX
107295+AC0-63336,QB,Joe,Joe Burrow,Burrow,17.8799997965,3,8000,CIN+AEA-CAR,CIN,CAR,,,,,,QB
107295+AC0-52442,RB,Joe,Joe Mixon,Mixon,17.3999996185,2,7900,JAC+AEA-HOU,HOU,JAC,Q,Ankle,,,,RB/FLEX
107295+AC0-129471,QB,C.J.,C.J. Stroud,Stroud,14.9199994405,3,7800,JAC+AEA-HOU,HOU,JAC,,,,,,QB
107295+AC0-103564,WR,Garrett,Garrett Wilson,Wilson,9.6666666667,3,7800,DEN+AEA-NYJ,NYJ,DEN,,,,,,WR/FLEX
107295+AC0-91626,RB,James,James Cook,Cook,18.8333333333,3,7800,BUF+AEA-BAL,BUF,BAL,,,,,,RB/FLEX
107295+AC0-91419,WR,Nico,Nico Collins,Collins,18.2666664124,3,7700,JAC+AEA-HOU,HOU,JAC,,,,,,WR/FLEX
107295+AC0-85607,QB,Brock,Brock Purdy,Purdy,18.026667277,3,7700,NE+AEA-SF,SF,NE,,,,,,QB
107295+AC0-45859,QB,Derek,Derek Carr,Carr,17.6999994914,3,7600,NO+AEA-ATL,NO,ATL,,,,,,QB
107295+AC0-40442,RB,Aaron,Aaron Jones,Jones,17.1666666667,3,7600,MIN+AEA-GB,MIN,GB,,,,,,RB/FLEX
107295+AC0-85798,WR,Brandon,Brandon Aiyuk,Aiyuk,5.7999998728,3,7600,NE+AEA-SF,SF,NE,,,,,,WR/FLEX
107295+AC0-129315,QB,Anthony,Anthony Richardson,Richardson,15.6733334859,3,7500,PIT+AEA-IND,IND,PIT,,,,,,QB
107295+AC0-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,16.6000003815,2,7500,NE+AEA-SF,SF,NE,Q,Calf,,,,WR/FLEX
107295+AC0-83074,TE,Dallas,Dallas Goedert,Goedert,11.8000005086,3,7500,PHI+AEA-TB,PHI,TB,,,,,,TE/FLEX
107295+AC0-40687,RB,James,James Conner,Conner,14.2333335876,3,7500,WAS+AEA-ARI,ARI,WAS,,,,,,RB/FLEX
107295+AC0-90576,WR,DeVonta,DeVonta Smith,Smith,13.4666671753,3,7400,PHI+AEA-TB,PHI,TB,O,Concussion,,,,WR/FLEX
107295+AC0-41535,QB,Baker,Baker Mayfield,Mayfield,19.6599998474,3,7400,PHI+AEA-TB,TB,PHI,,,,,,QB
107295+AC0-63589,QB,Sam,Sam Darnold,Darnold,19.9266662598,3,7300,MIN+AEA-GB,MIN,GB,,,,,,QB
107295+AC0-55635,WR,Chris,Chris Godwin,Godwin,18.933333079,3,7300,PHI+AEA-TB,TB,PHI,,,,,,WR/FLEX
107295+AC0-90562,RB,Brian,Brian Robinson Jr.,Robinson Jr.,14.566666921,3,7300,WAS+AEA-ARI,WAS,ARI,,,,,,RB/FLEX
107295+AC0-6894,QB,Aaron,Aaron Rodgers,Rodgers,15.2533327738,3,7200,DEN+AEA-NYJ,NYJ,DEN,,,,,,QB
107295+AC0-69017,QB,Jordan,Jordan Love,Love,17.3999996185,1,7200,MIN+AEA-GB,GB,MIN,Q,Knee +AC0- mcl,,,,QB
107295+AC0-87691,QB,Malik,Malik Willis,Willis,12.7866668701,3,7200,MIN+AEA-GB,GB,MIN,,,,,,QB
107295+AC0-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,11.566666921,3,7200,JAC+AEA-HOU,JAC,HOU,,,,,,RB/FLEX
107295+AC0-89981,WR,Tee,Tee Higgins,Higgins,5.4000000954,1,7200,CIN+AEA-CAR,CIN,CAR,,,,,,WR/FLEX
107295+AC0-33076,TE,Travis,Travis Kelce,Kelce,3.6666666667,3,7100,KC+AEA-LAC,KC,LAC,,,,,,TE/FLEX
107295+AC0-25079,WR,Stefon,Stefon Diggs,Diggs,13.1733334859,3,7100,JAC+AEA-HOU,HOU,JAC,,,,,,WR/FLEX
107295+AC0-152113,QB,Caleb,Caleb Williams,Williams,12.9666671753,3,7100,LAR+AEA-CHI,CHI,LAR,,,,,,QB
107295+AC0-72731,RB,Josh,Josh Jacobs,Jacobs,10.933333079,3,7100,MIN+AEA-GB,GB,MIN,,,,,,RB/FLEX
107295+AC0-22038,QB,Kirk,Kirk Cousins,Cousins,12.6133333842,3,7100,NO+AEA-ATL,ATL,NO,,,,,,QB
107295+AC0-45889,WR,Davante,Davante Adams,Adams,12.9666671753,3,7000,CLE+AEA-LV,LV,CLE,O,Hamstring,,,,WR/FLEX
107295+AC0-39793,TE,George,George Kittle,Kittle,11.5500001907,2,7000,NE+AEA-SF,SF,NE,,,,,,TE/FLEX
107295+AC0-69189,QB,Justin,Justin Herbert,Herbert,10.4533335368,3,7000,KC+AEA-LAC,LAC,KC,Q,Ankle,,,,QB
107295+AC0-87787,RB,J.K.,J.K. Dobbins,Dobbins,17.9666671753,3,7000,KC+AEA-LAC,LAC,KC,,,,,,RB/FLEX
107295+AC0-14225,QB,Andy,Andy Dalton,Dalton,13.779999733,2,7000,CIN+AEA-CAR,CAR,CIN,,,,,,QB
107295+AC0-70027,RB,Zack,Zack Moss,Moss,12.1666666667,3,6900,CIN+AEA-CAR,CIN,CAR,,,,,,RB/FLEX
107295+AC0-54879,QB,Deshaun,Deshaun Watson,Watson,14.8466669718,3,6900,CLE+AEA-LV,CLE,LV,,,,,,QB
107295+AC0-87770,WR,Chris,Chris Olave,Olave,10.1666666667,3,6900,NO+AEA-ATL,NO,ATL,Q,Hamstring,,,,WR/FLEX
107295+AC0-89951,QB,Trevor,Trevor Lawrence,Lawrence,11.6666666667,3,6900,JAC+AEA-HOU,JAC,HOU,,,,,,QB
107295+AC0-61593,WR,Jauan,Jauan Jennings,Jennings,19.1999994914,3,6800,NE+AEA-SF,SF,NE,,,,,,WR/FLEX
107295+AC0-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,13.133333842,3,6800,NE+AEA-SF,NE,SF,,,,,,RB/FLEX
107295+AC0-91591,QB,Justin,Justin Fields,Fields,14.2400004069,3,6800,PIT+AEA-IND,PIT,IND,,,,,,QB
107295+AC0-22015,QB,Russell,Russell Wilson,Wilson,17.6599995931,15,6800,PIT+AEA-IND,PIT,IND,Q,Calf,,,,QB
107295+AC0-91750,TE,Trey,Trey McBride,McBride,8.4000002543,3,6800,WAS+AEA-ARI,ARI,WAS,O,Concussion,,,,TE/FLEX
107295+AC0-6654,QB,Matthew,Matthew Stafford,Stafford,12.7199999491,3,6700,LAR+AEA-CHI,LAR,CHI,,,,,,QB
107295+AC0-112295,WR,Zay,Zay Flowers,Flowers,10.1666666667,3,6700,BUF+AEA-BAL,BAL,BUF,,,,,,WR/FLEX
107295+AC0-112745,WR,Drake,Drake London,London,10.866666158,3,6600,NO+AEA-ATL,ATL,NO,,,,,,WR/FLEX
107295+AC0-90575,RB,Najee,Najee Harris,Harris,9.1333332062,3,6600,PIT+AEA-IND,PIT,IND,,,,,,RB/FLEX
107295+AC0-102965,QB,Bo,Bo Nix,Nix,14.2333335876,3,6600,DEN+AEA-NYJ,DEN,NYJ,,,,,,QB
107295+AC0-151794,TE,Brock,Brock Bowers,Bowers,9.566666921,3,6500,CLE+AEA-LV,LV,CLE,,,,,,TE/FLEX
107295+AC0-61798,QB,Gardner,Gardner Minshew II,Minshew II,13.5600001017,3,6500,CLE+AEA-LV,LV,CLE,,,,,,QB
107295+AC0-56250,WR,Terry,Terry McLaurin,McLaurin,9.6333332062,3,6500,WAS+AEA-ARI,WAS,ARI,,,,,,WR/FLEX
107295+AC0-87467,RB,Chuba,Chuba Hubbard,Hubbard,13.133333842,3,6500,CIN+AEA-CAR,CAR,CIN,,,,,,RB/FLEX
107295+AC0-63043,WR,DJ,DJ Moore,Moore,9,3,6500,LAR+AEA-CHI,CHI,LAR,,,,,,WR/FLEX
107295+AC0-31001,WR,Amari,Amari Cooper,Cooper,9.7666664124,3,6400,CLE+AEA-LV,CLE,LV,,,,,,WR/FLEX
107295+AC0-90533,RB,Jerome,Jerome Ford,Ford,10.433333079,3,6400,CLE+AEA-LV,CLE,LV,,,,,,RB/FLEX
107295+AC0-120033,WR,Rome,Rome Odunze,Odunze,9.7666664124,3,6400,LAR+AEA-CHI,CHI,LAR,,,,,,WR/FLEX
107295+AC0-30231,QB,Jacoby,Jacoby Brissett,Brissett,7.5066668193,3,6400,NE+AEA-SF,NE,SF,,,,,,QB
107295+AC0-80001,RB,Austin,Austin Ekeler,Ekeler,10.2999998728,3,6300,WAS+AEA-ARI,WAS,ARI,O,Concussion,,,,RB/FLEX
107295+AC0-90428,RB,Tyler,Tyler Allgeier,Allgeier,4.1000000636,3,6300,NO+AEA-ATL,ATL,NO,,,,,,RB/FLEX
107295+AC0-92859,WR,Jalen,Jalen Nailor,Nailor,10.8000005086,3,6300,MIN+AEA-GB,MIN,GB,,,,,,WR/FLEX
107295+AC0-89455,WR,Jayden,Jayden Reed,Reed,16.1999994914,3,6300,MIN+AEA-GB,GB,MIN,,,,,,WR/FLEX
107295+AC0-53331,QB,Taylor,Taylor Heinicke,Heinicke,0.9599999785,1,6200,KC+AEA-LAC,LAC,KC,,,,,,QB
107295+AC0-66008,WR,Diontae,Diontae Johnson,Johnson,10.3666667938,3,6200,CIN+AEA-CAR,CAR,CIN,Q,Groin,,,,WR/FLEX
107295+AC0-29253,WR,Keenan,Keenan Allen,Allen,4.9000000954,1,6200,LAR+AEA-CHI,CHI,LAR,Q,Heel,,,,WR/FLEX
107295+AC0-41562,QB,Nick,Nick Mullens,Mullens,0,1,6200,MIN+AEA-GB,MIN,GB,,,,,,QB
107295+AC0-137902,RB,Rachaad,Rachaad White,White,7.4666665395,3,6200,PHI+AEA-TB,TB,PHI,Q,Illness,,,,RB/FLEX
107295+AC0-158412,RB,Braelon,Braelon Allen,Allen,9.7000001272,3,6200,DEN+AEA-NYJ,NYJ,DEN,,,,,,RB/FLEX
107295+AC0-158974,WR,Xavier,Xavier Worthy,Worthy,9,3,6200,KC+AEA-LAC,KC,LAC,,,,,,WR/FLEX
107295+AC0-145558,TE,Dalton,Dalton Kincaid,Kincaid,6.1666666667,3,6100,BUF+AEA-BAL,BUF,BAL,,,,,,TE/FLEX
