Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
28174-30447,RB,Todd,Todd Gurley II,Gurley II,22.20000076,1,8900,ARI@LAR,LAR,ARI,,
28174-6498,QB,Tom,Tom Brady,Brady,22.28000069,1,8500,NE@JAC,NE,JAC,,
28174-62497,RB,David,David Johnson,Johnson,15.19999981,1,8400,ARI@LAR,ARI,LAR,,
28174-11460,TE,Rob,Rob Gronkowski,Gronkowski,19.79999924,1,8100,NE@JAC,NE,JAC,,
28174-52922,RB,Leonard,Leonard Fournette,Fournette,7,1,7700,NE@JAC,JAC,NE,Q,Hamstring
28174-6654,QB,Matthew,Matthew Stafford,Stafford,12.03999996,1,7700,DET@SF,DET,SF,,
28174-38435,QB,Jared,Jared Goff,Goff,17.21999931,1,7400,ARI@LAR,LAR,ARI,,
28174-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,12.03999996,1,7300,DET@SF,SF,DET,,
28174-11485,WR,Golden,Golden Tate,Tate,17.39999962,1,7100,DET@SF,DET,SF,,
28174-6883,WR,Larry,Larry Fitzgerald,Fitzgerald,11.10000038,1,7100,ARI@LAR,ARI,LAR,,
28174-29501,WR,Brandin,Brandin Cooks,Cooks,11.80000019,1,7000,ARI@LAR,LAR,ARI,,
28174-11432,WR,Demaryius,Demaryius Thomas,Thomas,15.30000019,1,7000,OAK@DEN,DEN,OAK,,
28174-31001,WR,Amari,Amari Cooper,Cooper,2.299999952,1,6900,OAK@DEN,OAK,DEN,,
28174-22103,WR,Marvin,Marvin Jones Jr.,Jones Jr.,7.400000095,1,6800,DET@SF,DET,SF,,
28174-11505,WR,Emmanuel,Emmanuel Sanders,Sanders,24.5,1,6800,OAK@DEN,DEN,OAK,,
28174-22994,QB,Case,Case Keenum,Keenum,22.15999985,1,6700,OAK@DEN,DEN,OAK,,
28174-45859,QB,Derek,Derek Carr,Carr,9.220000267,1,6600,OAK@DEN,OAK,DEN,,
28174-34308,QB,Blake,Blake Bortles,Bortles,14.23999977,1,6500,NE@JAC,JAC,NE,,
28174-7859,WR,Julian,Julian Edelman,Edelman,0,0,6500,NE@JAC,NE,JAC,O,Suspension
28174-29685,WR,Robert,Robert Woods,Woods,5.800000191,1,6500,ARI@LAR,LAR,ARI,,
28174-79970,WR,Cooper,Cooper Kupp,Kupp,15.30000019,1,6300,ARI@LAR,LAR,ARI,,
28174-11414,QB,Sam,Sam Bradford,Bradford,3.819999933,1,6300,ARI@LAR,ARI,LAR,,
28174-9371,RB,Marshawn,Marshawn Lynch,Lynch,11.89999962,1,6300,OAK@DEN,OAK,DEN,,
28174-27338,RB,Rex,Rex Burkhead,Burkhead,7.400000095,1,6300,NE@JAC,NE,JAC,Q,Concussion
28174-25813,WR,Phillip,Phillip Dorsett,Dorsett,16.10000038,1,6300,NE@JAC,NE,JAC,,
28174-31061,RB,T.J.,T.J. Yeldon,Yeldon,14.39999962,1,6200,NE@JAC,JAC,NE,,
28174-14704,WR,Chris,Chris Hogan,Hogan,1.600000024,1,6200,NE@JAC,NE,JAC,,
28174-53303,RB,Matt,Matt Breida,Breida,5.599999905,1,6100,DET@SF,SF,DET,,
28174-63806,RB,Kerryon,Kerryon Johnson,Johnson,5.199999809,1,6100,DET@SF,DET,SF,,
28174-29445,QB,Sean,Sean Mannion,Mannion,1.039999962,5,6000,ARI@LAR,LAR,ARI,,
28174-39179,QB,Tanner,Tanner Lee,Lee,0,0,6000,NE@JAC,JAC,NE,,
28174-29715,QB,Kevin,Kevin Hogan,Hogan,9.694999695,4,6000,OAK@DEN,DEN,OAK,,
28174-24607,QB,Chad,Chad Kelly,Kelly,0,0,6000,OAK@DEN,DEN,OAK,,
28174-25410,QB,Mike,Mike Glennon,Glennon,9.680000305,4,6000,ARI@LAR,ARI,LAR,,
28174-31047,QB,AJ,AJ McCarron,McCarron,1.320000052,2,6000,OAK@DEN,OAK,DEN,,
28174-27982,QB,Jake,Jake Rudock,Rudock,-4.E-02,1,6000,DET@SF,DET,SF,,
28174-27986,QB,C.J.,C.J. Beathard,Beathard,15.80000051,6,6000,DET@SF,SF,DET,,
28174-41562,QB,Nick,Nick Mullens,Mullens,0,0,6000,DET@SF,SF,DET,,
28174-7778,QB,Matt,Matt Cassel,Cassel,-5.4E-01,1,6000,DET@SF,DET,SF,,
28174-29587,QB,Cody,Cody Kessler,Kessler,1.313333352,3,6000,NE@JAC,JAC,NE,,
28174-62364,QB,Josh,Josh Rosen,Rosen,0,0,6000,ARI@LAR,ARI,LAR,,
28174-55970,RB,Royce,Royce Freeman,Freeman,7.099999905,1,6000,OAK@DEN,DEN,OAK,,
28174-38837,QB,Danny,Danny Etling,Etling,0,0,6000,NE@JAC,NE,JAC,,
28174-83130,QB,Chad,Chad Kanoff,Kanoff,0,0,6000,ARI@LAR,ARI,LAR,,
28174-7872,QB,Brian,Brian Hoyer,Hoyer,6.787999725,10,6000,NE@JAC,NE,JAC,,
28174-31170,QB,Brandon,Brandon Allen,Allen,0,0,6000,ARI@LAR,LAR,ARI,,
28174-6893,WR,Jordy,Jordy Nelson,Nelson,3.799999952,1,6000,OAK@DEN,OAK,DEN,,
28174-28930,RB,James,James White,White,13.60000038,1,5900,NE@JAC,NE,JAC,,
28174-22113,RB,Alfred,Alfred Morris,Morris,1.799999952,1,5800,DET@SF,SF,DET,,
28174-32243,WR,Marquise,Marquise Goodwin,Goodwin,0,1,5800,DET@SF,SF,DET,O,Quadriceps
28174-54244,WR,Kenny,Kenny Golladay,Golladay,14.89999962,1,5700,DET@SF,DET,SF,,
28174-60910,WR,Dede,Dede Westbrook,Westbrook,7.599999905,1,5700,NE@JAC,JAC,NE,,
28174-39793,TE,George,George Kittle,Kittle,11.5,1,5600,DET@SF,SF,DET,,
28174-6774,WR,Pierre,Pierre Garcon,Garcon,3.099999905,1,5600,DET@SF,SF,DET,,
28174-53640,RB,Sony,Sony Michel,Michel,0,0,5600,NE@JAC,NE,JAC,Q,Knee
28174-79998,WR,Keelan,Keelan Cole,Cole,6.900000095,1,5500,NE@JAC,JAC,NE,,
