"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"28170-14187","WR","A.J.","A.J. Green","Green","16.200000762939453","1","17500","BAL@CIN","CIN","BAL","","","","",""
"28170-52442","RB","Joe","Joe Mixon","Mixon","23.399999618530273","1","15500","BAL@CIN","CIN","BAL","","","","",""
"28170-14225","QB","Andy","Andy Dalton","Dalton","17.520000457763672","1","13500","BAL@CIN","CIN","BAL","","","","",""
"28170-6714","QB","Joe","Joe Flacco","Flacco","21.739999771118164","1","13000","BAL@CIN","BAL","CIN","","","","",""
"28170-9392","WR","Michael","Michael Crabtree","Crabtree","11.300000190734863","1","12500","BAL@CIN","BAL","CIN","","","","",""
"28170-54606","WR","John","John Brown","Brown","12","1","12000","BAL@CIN","BAL","CIN","","","","",""
"28170-40843","RB","Alex","Alex Collins","Collins","6.400000095367432","1","11500","BAL@CIN","BAL","CIN","","","","",""
"28170-41475","WR","John","John Ross","Ross","6.800000190734863","1","10500","BAL@CIN","CIN","BAL","","","","",""
"28170-44449","WR","Willie","Willie Snead IV","Snead IV","12.899999618530273","1","10000","BAL@CIN","BAL","CIN","","","","",""
"28170-33557","TE","Tyler","Tyler Eifert","Eifert","5.900000095367432","1","9500","BAL@CIN","CIN","BAL","","","","",""
"28170-23045","K","Justin","Justin Tucker","Tucker","12","1","8500","BAL@CIN","BAL","CIN","","","","",""
"28170-25290","RB","Giovani","Giovani Bernard","Bernard","1.399999976158142","1","8000","BAL@CIN","CIN","BAL","","","","",""
"28170-43413","RB","Kenneth","Kenneth Dixon","Dixon","10.399999618530273","1","7500","BAL@CIN","BAL","CIN","Q","Knee","","",""
"28170-29645","RB","Javorius","Javorius Allen","Allen","11.699999809265137","1","7500","BAL@CIN","BAL","CIN","","","","",""
"28170-22100","K","Randy","Randy Bullock","Bullock","11","1","7000","BAL@CIN","CIN","BAL","","","","",""
"28170-40669","WR","Tyler","Tyler Boyd","Boyd","4.099999904632568","1","7000","BAL@CIN","CIN","BAL","","","","",""
"28170-63115","QB","Lamar","Lamar Jackson","Jackson","4.860000133514404","1","6500","BAL@CIN","BAL","CIN","","","","",""
"28170-80299","RB","Patrick","Patrick Ricard","Ricard","3.799999952316284","4","6500","BAL@CIN","BAL","CIN","","","","",""
"28170-28346","TE","Maxx","Maxx Williams","Williams","4.699999809265137","1","6500","BAL@CIN","BAL","CIN","","","","",""
"28170-41732","QB","Christian","Christian Hackenberg","Hackenberg","0","0","6000","BAL@CIN","CIN","BAL","","","","",""
"28170-83221","RB","De'Lance","De'Lance Turner","Turner","0","0","6000","BAL@CIN","BAL","CIN","","","","",""
"28170-33047","WR","Chris","Chris Moore","Moore","1","1","6000","BAL@CIN","BAL","CIN","","","","",""
"28170-40602","WR","Kermit","Kermit Whitfield","Whitfield","0","0","6000","BAL@CIN","CIN","BAL","","","","",""
"28170-45082","WR","Jared","Jared Murphy","Murphy","0","0","6000","BAL@CIN","CIN","BAL","","","","",""
"28170-64031","TE","Hayden","Hayden Hurst","Hurst","0","0","6000","BAL@CIN","BAL","CIN","O","Foot","","",""
"28170-31524","WR","Cody","Cody Core","Core","0","2","6000","BAL@CIN","CIN","BAL","Q","Back","","",""
"28170-29605","QB","Matt","Matt Barkley","Barkley","0","0","6000","BAL@CIN","CIN","BAL","IR","Knee","","",""
"28170-7718","RB","Cedric","Cedric Peerman","Peerman","0","0","6000","BAL@CIN","CIN","BAL","","","","",""
"28170-48422","RB","Jarveon","Jarveon Williams","Williams","0","0","6000","BAL@CIN","CIN","BAL","","","","",""
"28170-63529","WR","Ka'Raun","Ka'Raun White","White","0","0","6000","BAL@CIN","CIN","BAL","","","","",""
"28170-57900","RB","Quinton","Quinton Flowers","Flowers","0","0","6000","BAL@CIN","CIN","BAL","","","","",""
"28170-30253","QB","Jeff","Jeff Driskel","Driskel","0","0","6000","BAL@CIN","CIN","BAL","","","","",""
"28170-58029","K","Jonathan","Jonathan Brown","Brown","0","0","6000","BAL@CIN","CIN","BAL","","","","",""
"28170-62510","TE","Nick","Nick Boyle","Boyle","5.5","1","6000","BAL@CIN","BAL","CIN","","","","",""
"28170-25011","TE","Darren","Darren Waller","Waller","0","0","6000","BAL@CIN","BAL","CIN","","","","",""
"28170-21941","QB","Robert","Robert Griffin III","Griffin III","0","0","6000","BAL@CIN","BAL","CIN","","","","",""
"28170-26038","TE","Tyler","Tyler Kroft","Kroft","1.399999976158142","1","6000","BAL@CIN","CIN","BAL","","","","",""
"28170-52410","WR","Josh","Josh Malone","Malone","1.7222222222222223","9","6000","BAL@CIN","CIN","BAL","","","","",""
"28170-47551","TE","Mason","Mason Schreck","Schreck","0","0","6000","BAL@CIN","CIN","BAL","","","","",""
"28170-9409","TE","Clark","Clark Harris","Harris","0","0","6000","BAL@CIN","CIN","BAL","","","","",""
"28170-38722","TE","Cethan","Cethan Carter","Carter","0","2","6000","BAL@CIN","CIN","BAL","IR","Arm","","",""
"28170-70341","WR","Moritz","Moritz Boehringer","Boehringer","0","0","6000","BAL@CIN","CIN","BAL","","","","",""
