Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
65568-39280,RB,Derrick,Derrick Henry,Henry,27.01666768391927,6,11000,KC@TEN,TEN,KC,,,,,,RB/FLEX
65568-55050,RB,Christian,Christian McCaffrey,McCaffrey,16.8000005086263,3,10000,CAR@NYG,CAR,NYG,IR,Hamstring,,,,RB/FLEX
65568-42104,RB,Alvin,Alvin Kamara,Kamara,15.919999694824218,5,9200,NO@SEA,NO,SEA,,,,,,RB/FLEX
65568-45889,WR,Davante,Davante Adams,Adams,16.96666717529297,6,9000,WAS@GB,GB,WAS,,,,,,WR/FLEX
65568-57439,QB,Patrick,Patrick Mahomes,Mahomes,26.980000813802082,6,8800,KC@TEN,KC,TEN,,,,,,QB
65568-79970,WR,Cooper,Cooper Kupp,Kupp,21.633333841959637,6,8800,DET@LAR,LAR,DET,,,,,,WR/FLEX
65568-89675,RB,Jonathan,Jonathan Taylor,Taylor,17.616666158040363,6,8800,IND@SF,IND,SF,,,,,,RB/FLEX
65568-63484,QB,Kyler,Kyler Murray,Murray,25.20666758219401,6,8700,HOU@ARI,ARI,HOU,,,,,,QB
65568-53681,WR,Tyreek,Tyreek Hill,Hill,19.116666158040363,6,8500,KC@TEN,KC,TEN,Q,Quadriceps,,,,WR/FLEX
65568-40442,RB,Aaron,Aaron Jones,Jones,16.599999745686848,6,8500,WAS@GB,GB,WAS,,,,,,RB/FLEX
65568-63115,QB,Lamar,Lamar Jackson,Jackson,24.606666564941406,6,8400,CIN@BAL,BAL,CIN,,,,,,QB
65568-69531,QB,Jalen,Jalen Hurts,Hurts,25.1999994913737,6,8300,PHI@LV,PHI,LV,,,,,,QB
65568-33076,TE,Travis,Travis Kelce,Kelce,14.966667175292969,6,8200,KC@TEN,KC,TEN,Q,Neck,,,,TE/FLEX
65568-6654,QB,Matthew,Matthew Stafford,Stafford,22.686665852864582,6,8100,DET@LAR,LAR,DET,,,,,,QB
65568-30733,WR/RB,Cordarrelle,Cordarrelle Patterson,Patterson,17.860000610351562,5,8000,ATL@MIA,ATL,MIA,,,,,,RB/WR/FLEX
65568-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,14.283332824707031,6,8000,HOU@ARI,ARI,HOU,,,,,,WR/FLEX
65568-6498,QB,Tom,Tom Brady,Brady,25.876665751139324,6,8000,CHI@TB,TB,CHI,,,,,,QB
65568-70157,RB,Darrell,Darrell Henderson Jr.,Henderson Jr.,17.019999694824218,5,8000,DET@LAR,LAR,DET,,,,,,RB/FLEX
65568-56018,WR,Deebo,Deebo Samuel,Samuel,18.9,5,8000,IND@SF,SF,IND,,,,,,WR/FLEX
65568-6894,QB,Aaron,Aaron Rodgers,Rodgers,19.53999964396159,6,7900,WAS@GB,GB,WAS,,,,,,QB
65568-63589,QB,Sam,Sam Darnold,Darnold,20.486666361490887,6,7700,CAR@NYG,CAR,NYG,,,,,,QB
65568-63043,WR,DJ,DJ Moore,Moore,14.90000025431315,6,7700,CAR@NYG,CAR,NYG,,,,,,WR/FLEX
65568-21948,QB,Ryan,Ryan Tannehill,Tannehill,16.663333892822266,6,7600,KC@TEN,TEN,KC,,,,,,QB
65568-24849,QB,Jameis,Jameis Winston,Winston,18.655999755859376,5,7500,NO@SEA,NO,SEA,,,,,,QB
65568-53562,RB,Nick,Nick Chubb,Chubb,16.060000610351562,5,7500,DEN@CLE,CLE,DEN,O,Calf,,,,RB/FLEX
65568-52436,TE,Mark,Mark Andrews,Andrews,14.300000508626303,6,7500,CIN@BAL,BAL,CIN,,,,,,TE/FLEX
65568-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,16.433333079020183,6,7500,CIN@BAL,CIN,BAL,,,,,,WR/FLEX
65568-45859,QB,Derek,Derek Carr,Carr,19.43999989827474,6,7400,PHI@LV,LV,PHI,,,,,,QB
65568-73048,WR,DK,DK Metcalf,Metcalf,14.933333079020182,6,7400,NO@SEA,SEA,NO,,,,,,WR/FLEX
65568-11612,WR,Antonio,Antonio Brown,Brown,16.18000030517578,5,7400,CHI@TB,TB,CHI,Q,Ankle,,,,WR/FLEX
65568-6616,QB,Matt,Matt Ryan,Ryan,18.575999450683593,5,7300,ATL@MIA,ATL,MIA,,,,,,QB
65568-86687,WR,Marquise,Marquise Brown,Brown,15.84999974568685,6,7300,CIN@BAL,BAL,CIN,,,,,,WR/FLEX
65568-64555,WR,Calvin,Calvin Ridley,Ridley,11.25,4,7300,ATL@MIA,ATL,MIA,,,,,,WR/FLEX
65568-87467,RB,Chuba,Chuba Hubbard,Hubbard,8.133333206176758,6,7300,CAR@NYG,CAR,NYG,,,,,,RB/FLEX
65568-149696,QB,Trey,Trey Lance,Lance,11.614999771118164,4,7200,IND@SF,SF,IND,Q,Knee,,,,QB
65568-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,16.860000610351562,6,7200,DEN@CLE,DEN,CLE,Q,Foot,,,,QB
65568-56250,WR,Terry,Terry McLaurin,McLaurin,12.883333841959635,6,7200,WAS@GB,WAS,GB,Q,Hamstring,,,,WR/FLEX
65568-52442,RB,Joe,Joe Mixon,Mixon,14.583333333333334,6,7200,CIN@BAL,CIN,BAL,,,,,,RB/FLEX
65568-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,14.899999618530273,4,7200,IND@SF,SF,IND,Q,Calf,,,,QB
65568-63336,QB,Joe,Joe Burrow,Burrow,19.5,6,7200,CIN@BAL,CIN,BAL,,,,,,QB
65568-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,13.353333791097006,3,7100,ATL@MIA,MIA,ATL,Q,Ribs,,,,QB
65568-91598,RB,D'Andre,D'Andre Swift,Swift,15.316666920979818,6,7100,DET@LAR,DET,LAR,Q,Groin,,,,RB/FLEX
65568-32384,WR,Mike,Mike Evans,Evans,13.583333333333334,6,7100,CHI@TB,TB,CHI,,,,,,WR/FLEX
65568-63519,QB,Daniel,Daniel Jones,Jones,17.843332926432293,6,7000,CAR@NYG,NYG,CAR,,,,,,QB
65568-72846,WR,A.J.,A.J. Brown,Brown,7.380000305175781,5,7000,KC@TEN,TEN,KC,Q,Illness,,,,WR/FLEX
65568-22015,QB,Russell,Russell Wilson,Wilson,19.927999877929686,5,7000,NO@SEA,SEA,NO,IR,Finger,,,,QB
65568-52922,RB,Leonard,Leonard Fournette,Fournette,14.166666666666666,6,7000,CHI@TB,TB,CHI,,,,,,RB/FLEX
65568-53331,QB,Taylor,Taylor Heinicke,Heinicke,17.433333079020183,6,6900,WAS@GB,WAS,GB,,,,,,QB
65568-72731,RB,Josh,Josh Jacobs,Jacobs,13.524999618530273,4,6900,PHI@LV,LV,PHI,,,,,,RB/FLEX
65568-14190,WR,Julio,Julio Jones,Jones,8.449999809265137,4,6900,KC@TEN,TEN,KC,Q,Hamstring,,,,WR/FLEX
65568-25011,TE,Darren,Darren Waller,Waller,11.050000508626303,6,6800,PHI@LV,LV,PHI,,,,,,TE/FLEX
65568-90584,QB,Mac,Mac Jones,Jones,13.913333892822266,6,6800,NYJ@NE,NE,NYJ,,,,,,QB
65568-29685,WR,Robert,Robert Woods,Woods,11.59999974568685,6,6800,DET@LAR,LAR,DET,,,,,,WR/FLEX
65568-64576,RB,Damien,Damien Harris,Harris,9.40000025431315,6,6800,NYJ@NE,NE,NYJ,,,,,,RB/FLEX
65568-26483,QB,Geno,Geno Smith,Smith,10.399999618530273,2,6800,NO@SEA,SEA,NO,,,,,,QB
65568-57403,WR,Courtland,Courtland Sutton,Sutton,12.59999974568685,6,6700,DEN@CLE,DEN,CLE,,,,,,WR/FLEX
65568-55635,WR,Chris,Chris Godwin,Godwin,12.34999974568685,6,6700,CHI@TB,TB,CHI,,,,,,WR/FLEX
65568-41535,QB,Baker,Baker Mayfield,Mayfield,15.759999593098959,6,6700,DEN@CLE,CLE,DEN,O,Shoulder - labrum,,,,QB
65568-70324,QB,Carson,Carson Wentz,Wentz,17.03333282470703,6,6700,IND@SF,IND,SF,,,,,,QB
