,"Josh Allen  J. Allen  (QB, BUF)"
0,"Jalen Hurts  J. Hurts  (QB, PHI)"
1,"Christian McCaffrey  C. McCaffrey  (RB, SF)"
2,"Tyreek Hill  T. Hill  (WR, MIA)"
3,"Patrick Mahomes  P. Mahomes  (QB, KC)"
4,"C.J. Stroud  C. Stroud  (QB, HOU)"
5,"Anthony Richardson  A. Richardson  (QB, IND)"
6,"Lamar Jackson  L. Jackson  (QB, BAL)"
7,"Bijan Robinson  B. Robinson  (RB, ATL)"
8,"Amon-Ra St. Brown  A. St. Brown  (WR, DET)"
9,"Breece Hall  B. Hall  (RB, NYJ)"
10,"Justin Jefferson  J. Jefferson  (WR, MIN)"
11,"Joe Burrow  J. Burrow  (QB, CIN)"
12,"Tua Tagovailoa  T. Tagovailoa  (QB, MIA)"
13,"CeeDee Lamb  C. Lamb  (WR, DAL)"
14,"Trevor Lawrence  T. Lawrence  (QB, JAC)"
15,"Puka Nacua  P. Nacua  (WR, LA)"
16,"Kyler Murray  K. Murray  (QB, ARI)"
17,"Caleb Williams  C. Williams  (QB, CHI)"
18,"Jayden Daniels  J. Daniels  (QB, WSH)"
19,"Jordan Love  J. Love  (QB, GB)"
20,"Matthew Stafford  M. Stafford  (QB, LA)"
21,"Jared Goff  J. Goff  (QB, DET)"
22,"A.J. Brown  A. Brown  (WR, PHI)"
23,"Jahmyr Gibbs  J. Gibbs  (RB, DET)"
24,"Ja'Marr Chase  J. Chase  (WR, CIN)"
25,"Justin Herbert  J. Herbert  (QB, LAC)"
26,"Deshaun Watson  D. Watson  (QB, CLE)"
27,"Garrett Wilson  G. Wilson  (WR, NYJ)"
28,"Alvin Kamara  A. Kamara  (RB, NO)"
29,"Kirk Cousins  K. Cousins  (QB, ATL)"
30,"Saquon Barkley  S. Barkley  (RB, PHI)"
31,"Geno Smith  G. Smith  (QB, SEA)"
32,"Jaylen Waddle  J. Waddle  (WR, MIA)"
33,"Baker Mayfield  B. Mayfield  (QB, TB)"
34,"Cooper Kupp  C. Kupp  (WR, LA)"
35,"Justin Fields  J. Fields  (QB, PIT)"
36,"De'Von Achane  D. Achane  (RB, MIA)"
37,"Sam LaPorta  S. LaPorta  (TE, DET)"
38,"Drake London  D. London  (WR, ATL)"
39,"Jonathan Taylor  J. Taylor  (RB, IND)"
