,projection,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,94.9,Kenny Golladay,Chad Williams,Trent Taylor,Phillip Dorsett,Devontae Booker,James White,Tom Brady,Rams,Rob Gronkowski
1,94.7,Kenny Golladay,Chad Williams,Trent Taylor,Phillip Dorsett,Devontae Booker,James White,Matthew Stafford,Rams,Rob Gronkowski
2,94.2,Kenny Golladay,Chad Williams,Trent Taylor,Phillip Dorsett,Devontae Booker,James White,Jimmy Garoppolo,Rams,Rob Gronkowski
3,93.5,Kenny Golladay,Chad Williams,Trent Taylor,Phillip Dorsett,Devontae Booker,James White,Case Keenum,Rams,Rob Gronkowski
4,93.1,Kenny Golladay,Chad Williams,Trent Taylor,Phillip Dorsett,Devontae Booker,James White,Jared Goff,Rams,Rob Gronkowski
5,93.0,Kenny Golladay,Chad Williams,Trent Taylor,Phillip Dorsett,Devontae Booker,James White,Tom Brady,Broncos,Rob Gronkowski
6,93.0,Kenny Golladay,Chad Williams,Trent Taylor,Phillip Dorsett,Devontae Booker,James White,Tom Brady,Jaguars,Rob Gronkowski
7,93.0,Kenny Golladay,Chad Williams,Trent Taylor,Phillip Dorsett,Devontae Booker,James White,Blake Bortles,Rams,Rob Gronkowski
8,92.9,Kenny Golladay,Chad Williams,Trent Taylor,Phillip Dorsett,Devontae Booker,James White,Tom Brady,Lions,Rob Gronkowski
9,92.8,Kenny Golladay,Chad Williams,Trent Taylor,Phillip Dorsett,Devontae Booker,James White,Matthew Stafford,Broncos,Rob Gronkowski
10,92.8,Kenny Golladay,Chad Williams,Trent Taylor,Phillip Dorsett,Devontae Booker,James White,Matthew Stafford,Jaguars,Rob Gronkowski
11,92.7,Kenny Golladay,Chad Williams,Trent Taylor,Phillip Dorsett,Devontae Booker,James White,Matthew Stafford,Lions,Rob Gronkowski
12,92.4,Chad Williams,Trent Taylor,Phillip Dorsett,Phillip Lindsay,Devontae Booker,James White,Tom Brady,Rams,Rob Gronkowski
13,92.4,Chad Williams,Trent Taylor,Phillip Dorsett,Devontae Booker,James White,Tom Brady,Rams,Ricky Seals-Jones,Rob Gronkowski
14,92.3,Kenny Golladay,Chad Williams,Trent Taylor,Phillip Dorsett,Devontae Booker,James White,Jimmy Garoppolo,Jaguars,Rob Gronkowski
15,92.3,Kenny Golladay,Chad Williams,Trent Taylor,Phillip Dorsett,Devontae Booker,James White,Jimmy Garoppolo,Broncos,Rob Gronkowski
16,92.2,Kenny Golladay,Chad Williams,Trent Taylor,Phillip Dorsett,Devontae Booker,James White,Jimmy Garoppolo,Lions,Rob Gronkowski
17,92.2,Chad Williams,Trent Taylor,Phillip Dorsett,Devontae Booker,James White,Matthew Stafford,Rams,Ricky Seals-Jones,Rob Gronkowski
18,92.2,Chad Williams,Trent Taylor,Phillip Dorsett,Phillip Lindsay,Devontae Booker,James White,Matthew Stafford,Rams,Rob Gronkowski
19,91.7,Chad Williams,Trent Taylor,Phillip Dorsett,Phillip Lindsay,Devontae Booker,James White,Jimmy Garoppolo,Rams,Rob Gronkowski
20,91.7,Chad Williams,Trent Taylor,Phillip Dorsett,Devontae Booker,James White,Jimmy Garoppolo,Rams,Ricky Seals-Jones,Rob Gronkowski
21,91.6,Kenny Golladay,Chad Williams,Trent Taylor,Phillip Dorsett,Devontae Booker,James White,Case Keenum,Broncos,Rob Gronkowski
22,91.6,Kenny Golladay,Chad Williams,Trent Taylor,Phillip Dorsett,Devontae Booker,James White,Case Keenum,Jaguars,Rob Gronkowski
23,91.5,Kenny Golladay,Chad Williams,Trent Taylor,Phillip Dorsett,Devontae Booker,James White,Derek Carr,Rams,Rob Gronkowski
