,0,1,2,3,4,5,6,7,8
130.1,Case Keenum,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Kenny Golladay,Rob Gronkowski
129.6,Blake Bortles,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Kenny Golladay,Rob Gronkowski
129.4,Blake Bortles,Los Angeles Rams,Royce Freeman,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Rob Gronkowski
129.3,Blake Bortles,San Francisco 49ers,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Golden Tate,Rob Gronkowski
129.2,Case Keenum,Los Angeles Rams,T.J. Yeldon,Alfred Morris,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Rob Gronkowski
129.2,Case Keenum,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Demaryius Thomas,Kenny Golladay,Rob Gronkowski
129.1,Matthew Stafford,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Chris Hogan,Kenny Golladay,Rob Gronkowski
129.0,Jimmy Garoppolo,Arizona Cardinals,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Chris Hogan,Rob Gronkowski
129.0,Case Keenum,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Matt Breida,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,Rob Gronkowski
128.9,Case Keenum,Jacksonville Jaguars,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Cooper Kupp,Emmanuel Sanders,Rob Gronkowski
128.8,Jimmy Garoppolo,Oakland Raiders,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Cooper Kupp,Emmanuel Sanders,Rob Gronkowski
128.7,Case Keenum,Arizona Cardinals,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,Demaryius Thomas,Rob Gronkowski
128.7,Blake Bortles,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,James White,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Rob Gronkowski
128.6,Blake Bortles,San Francisco 49ers,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Demaryius Thomas,Rob Gronkowski
128.5,Case Keenum,Arizona Cardinals,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Robert Woods,Rob Gronkowski
128.5,Matthew Stafford,Los Angeles Rams,Royce Freeman,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Kenny Golladay,Rob Gronkowski
128.4,Case Keenum,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Cooper Kupp,Kenny Golladay,Rob Gronkowski
128.4,Jimmy Garoppolo,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Matt Breida,Pierre Garcon,Emmanuel Sanders,Chris Hogan,Rob Gronkowski
128.3,Case Keenum,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,James White,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,Rob Gronkowski
128.3,Case Keenum,Arizona Cardinals,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Chris Hogan,Rob Gronkowski
128.3,Case Keenum,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,George Kittle,Rob Gronkowski
128.2,Case Keenum,Denver Broncos,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Kenny Golladay,Rob Gronkowski
128.2,Matthew Stafford,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Austin Seferian-Jenkins,Rob Gronkowski
128.2,Case Keenum,Los Angeles Rams,Royce Freeman,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Cooper Kupp,Rob Gronkowski
128.1,Case Keenum,San Francisco 49ers,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Cooper Kupp,Emmanuel Sanders,Rob Gronkowski
128.0,Blake Bortles,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Kenny Golladay,Amari Cooper,Rob Gronkowski
128.0,Matthew Stafford,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,James White,Larry Fitzgerald,Pierre Garcon,Kenny Golladay,Rob Gronkowski
127.9,Jimmy Garoppolo,Detroit Lions,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Demaryius Thomas,Kenny Golladay,Rob Gronkowski
127.9,Jimmy Garoppolo,Detroit Lions,T.J. Yeldon,Todd Gurley II,James White,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Rob Gronkowski
127.8,Blake Bortles,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,James White,Pierre Garcon,Emmanuel Sanders,Demaryius Thomas,Rob Gronkowski
127.8,Blake Bortles,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Golden Tate,George Kittle,Rob Gronkowski
127.8,Case Keenum,Detroit Lions,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Chris Hogan,Demaryius Thomas,Rob Gronkowski
127.7,Jimmy Garoppolo,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Golden Tate,Austin Seferian-Jenkins,Rob Gronkowski
127.7,Jimmy Garoppolo,Arizona Cardinals,T.J. Yeldon,Todd Gurley II,James White,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Rob Gronkowski
127.7,Blake Bortles,Oakland Raiders,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,Demaryius Thomas,Rob Gronkowski
127.6,Case Keenum,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Golden Tate,Ricky Seals-Jones,Rob Gronkowski
127.6,Jimmy Garoppolo,Oakland Raiders,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,Chris Hogan,Rob Gronkowski
127.6,Case Keenum,Los Angeles Rams,T.J. Yeldon,Alfred Morris,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Amari Cooper,Rob Gronkowski
127.5,Jared Goff,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Chris Hogan,Kenny Golladay,Rob Gronkowski
127.5,Matthew Stafford,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Demaryius Thomas,Austin Seferian-Jenkins,Rob Gronkowski
127.5,Blake Bortles,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Matt Breida,Pierre Garcon,Cooper Kupp,Emmanuel Sanders,Rob Gronkowski
127.4,Jimmy Garoppolo,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,Ricky Seals-Jones,Rob Gronkowski
