,0_flex,1,2,3,4,0_capt,Salary,Projection
87,Nick Mullens,Doug Martin,Daniel Carlson,George Kittle,Jalen Richard,Derek Carr,49900,80.5
11,Nick Mullens,Derek Carr,Doug Martin,Pierre Garcon,George Kittle,Jalen Richard,49700,80.35
130,Nick Mullens,Derek Carr,Pierre Garcon,George Kittle,Jalen Richard,Doug Martin,49000,79.94999999999999
134,Nick Mullens,Derek Carr,Pierre Garcon,Jalen Richard,Jared Cook,Doug Martin,49400,79.85
32,Derek Carr,Doug Martin,Jordy Nelson,Seth Roberts,Jalen Richard,Nick Mullens,48800,79.30000000000001
119,Nick Mullens,Derek Carr,Doug Martin,Daniel Carlson,George Kittle,Jalen Richard,48300,78.94999999999999
90,Nick Mullens,Derek Carr,Doug Martin,Daniel Carlson,Jared Cook,Jalen Richard,48700,78.85
46,Nick Mullens,Doug Martin,Seth Roberts,Pierre Garcon,Jalen Richard,Derek Carr,48100,78.80000000000001
129,Nick Mullens,Derek Carr,Robbie Gould,George Kittle,Jalen Richard,Doug Martin,47800,77.95000000000002
135,Nick Mullens,Doug Martin,Daniel Carlson,Seth Roberts,Jalen Richard,Derek Carr,46700,77.4
100,Nick Mullens,Derek Carr,Doug Martin,Seth Roberts,Pierre Garcon,Jalen Richard,46500,77.25
50,Nick Mullens,Doug Martin,Daniel Carlson,Pierre Garcon,Jalen Richard,Derek Carr,45700,76.9
109,Nick Mullens,Doug Martin,Pierre Garcon,Robbie Gould,Jalen Richard,Derek Carr,45900,76.30000000000001
127,Nick Mullens,Derek Carr,Doug Martin,Daniel Carlson,Seth Roberts,Jalen Richard,45100,75.85
14,Nick Mullens,Doug Martin,Seth Roberts,Jalen Richard,Kyle Juszczyk,Derek Carr,44900,75.5
116,Nick Mullens,Derek Carr,Doug Martin,Daniel Carlson,Pierre Garcon,Jalen Richard,44100,75.35
133,Nick Mullens,Doug Martin,Pierre Garcon,Jalen Richard,Kyle Juszczyk,Derek Carr,43900,75.0
5,Nick Mullens,Derek Carr,Daniel Carlson,Pierre Garcon,Jalen Richard,Doug Martin,43400,74.94999999999999
88,Nick Mullens,Doug Martin,Daniel Carlson,Robbie Gould,Jalen Richard,Derek Carr,44500,74.9
21,Nick Mullens,Derek Carr,Doug Martin,Pierre Garcon,Robbie Gould,Jalen Richard,44300,74.75
110,Nick Mullens,Derek Carr,Doug Martin,Pierre Garcon,Kyle Juszczyk,Jalen Richard,42300,73.44999999999999
68,Nick Mullens,Derek Carr,Doug Martin,Daniel Carlson,Robbie Gould,Jalen Richard,42900,73.35
47,Nick Mullens,Doug Martin,Robbie Gould,Jalen Richard,Kyle Juszczyk,Derek Carr,42700,73.0
66,Nick Mullens,Derek Carr,Daniel Carlson,Seth Roberts,Pierre Garcon,Jalen Richard,43500,72.64999999999999
