,1,2,3,4,5,6,7,8,9,Salary,Projection
0,Travis Kelce,Lamar Miller,Nick Chubb,Adrian Peterson,Adam Thielen,Cooper Kupp,Courtland Sutton,Cam Newton,Broncos,50000,145.3
1,Travis Kelce,Alvin Kamara,Nick Chubb,Adrian Peterson,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Bears,49900,145.29999999999998
2,Travis Kelce,Lamar Miller,Nick Chubb,Adrian Peterson,Adam Thielen,Cooper Kupp,Courtland Sutton,Cam Newton,Lions,49800,144.8
3,Travis Kelce,Alvin Kamara,Nick Chubb,James Conner,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Chiefs,49700,144.5
4,Travis Kelce,Chris Carson,Nick Chubb,Adrian Peterson,Adam Thielen,Cooper Kupp,Courtland Sutton,Cam Newton,Broncos,49500,144.0
265,Travis Kelce,Nick Chubb,Adrian Peterson,Adam Thielen,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Broncos,49700,144.0
5,Travis Kelce,Phillip Lindsay,Nick Chubb,Adrian Peterson,Adam Thielen,Sammy Watkins,Courtland Sutton,Cam Newton,Chiefs,49600,143.89999999999998
6,Travis Kelce,Alvin Kamara,Nick Chubb,James Conner,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Broncos,49300,143.8
530,Travis Kelce,Austin Hooper,Alvin Kamara,Nick Chubb,Adam Thielen,Cooper Kupp,Courtland Sutton,Cam Newton,Broncos,49900,143.7
266,Travis Kelce,Nick Chubb,Adrian Peterson,Adam Thielen,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Ravens,49900,143.7
267,Travis Kelce,Nick Chubb,Adrian Peterson,Adam Thielen,Cooper Kupp,Courtland Sutton,Michael Crabtree,Cam Newton,Chiefs,50000,143.6
531,Travis Kelce,Austin Hooper,Nick Chubb,Adrian Peterson,Adam Thielen,Sammy Watkins,Cooper Kupp,Cam Newton,Chiefs,50000,143.6
268,Travis Kelce,Nick Chubb,Adrian Peterson,Adam Thielen,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Lions,49500,143.5
7,Travis Kelce,Alvin Kamara,Nick Chubb,Adrian Peterson,Sammy Watkins,Cooper Kupp,Michael Crabtree,Cam Newton,Chiefs,49400,143.39999999999998
8,Travis Kelce,Alvin Kamara,Nick Chubb,James Conner,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Lions,49100,143.3
532,Travis Kelce,Austin Hooper,Alvin Kamara,Nick Chubb,Adam Thielen,Cooper Kupp,Courtland Sutton,Cam Newton,Lions,49700,143.2
