,1,2,3,4,5,6,7,8,9,Salary,Projection
0,Jared Cook,D'Andre Swift,Nick Chubb,Chuba Hubbard,A.J. Brown,Brandin Cooks,Deonte Harris,Josh Allen,Jacksonville,50000,132.34
1,Jared Cook,D'Andre Swift,Nick Chubb,Chuba Hubbard,A.J. Brown,Brandin Cooks,Deonte Harris,Josh Allen,Washington,49700,132.16000000000003
2,Jared Cook,D'Andre Swift,Nick Chubb,Chuba Hubbard,A.J. Brown,Brandin Cooks,Deonte Harris,Josh Allen,Detroit,49900,131.88
250,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,A.J. Brown,Marvin Jones,Brandin Cooks,Josh Allen,Washington,49900,131.39
251,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,A.J. Brown,Calvin Ridley,Brandin Cooks,Jalen Hurts,Jacksonville,50000,131.24
252,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,A.J. Brown,Calvin Ridley,Brandin Cooks,Jalen Hurts,Washington,49700,131.06
253,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,Tyreek Hill,A.J. Brown,Brandin Cooks,Daniel Jones,Washington,49800,130.98000000000002
3,Jared Cook,D'Andre Swift,Nick Chubb,Chuba Hubbard,Calvin Ridley,Brandin Cooks,Deonte Harris,Josh Allen,Washington,49400,130.91000000000003
254,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,A.J. Brown,Brandin Cooks,Jaylen Waddle,Josh Allen,Washington,49600,130.76
121,Jared Cook,Nick Chubb,Chuba Hubbard,A.J. Brown,Calvin Ridley,Brandin Cooks,Zach Pascal,Josh Allen,Washington,50000,130.63
4,Jared Cook,D'Andre Swift,Nick Chubb,Chuba Hubbard,Calvin Ridley,Brandin Cooks,Deonte Harris,Josh Allen,Detroit,49600,130.63
5,Jared Cook,D'Andre Swift,Nick Chubb,Chuba Hubbard,A.J. Brown,Marvin Jones,Brandin Cooks,Daniel Jones,Washington,49500,130.41000000000003
122,Jared Cook,D'Andre Swift,Chuba Hubbard,A.J. Brown,Calvin Ridley,Brandin Cooks,Deonte Harris,Josh Allen,Jacksonville,49800,130.29
123,Jared Cook,D'Andre Swift,Chuba Hubbard,A.J. Brown,Calvin Ridley,Brandin Cooks,Deonte Harris,Josh Allen,Washington,49500,130.11
255,Dallas Goedert,Jared Cook,D'Andre Swift,Nick Chubb,D.J. Moore,A.J. Brown,Brandin Cooks,Daniel Jones,Washington,49500,130.01999999999998
124,Jared Cook,D'Andre Swift,Chuba Hubbard,A.J. Brown,Calvin Ridley,Brandin Cooks,Deonte Harris,Josh Allen,Detroit,49700,129.82999999999998
6,Jared Cook,D'Andre Swift,Nick Chubb,Chuba Hubbard,A.J. Brown,Brandin Cooks,Jaylen Waddle,Daniel Jones,Washington,49200,129.78000000000003
256,Dallas Goedert,Jared Cook,Nick Chubb,Chuba Hubbard,A.J. Brown,Calvin Ridley,Brandin Cooks,Jalen Hurts,Washington,49400,129.65
7,Dallas Goedert,D'Andre Swift,Nick Chubb,Chuba Hubbard,A.J. Brown,Brandin Cooks,Zach Pascal,Daniel Jones,Washington,49300,129.61
257,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,Calvin Ridley,Brandin Cooks,Jaylen Waddle,Josh Allen,Washington,49300,129.51
258,Dallas Goedert,Jared Cook,D'Andre Swift,Nick Chubb,A.J. Brown,Brandin Cooks,Zach Pascal,Josh Allen,Washington,49200,129.13
125,Jared Cook,D'Andre Swift,Chuba Hubbard,D.J. Moore,A.J. Brown,Brandin Cooks,Jaylen Waddle,Daniel Jones,Washington,49600,129.12
8,Jared Cook,D'Andre Swift,Cordarrelle Patterson,Chuba Hubbard,A.J. Brown,Brandin Cooks,Deonte Harris,Josh Allen,Washington,49100,129.11
259,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,D.J. Moore,A.J. Brown,Deonte Harris,Josh Allen,Washington,49100,128.76
126,Jared Cook,Nick Chubb,Chuba Hubbard,A.J. Brown,Calvin Ridley,Brandin Cooks,Deonte Harris,Josh Allen,Washington,49200,128.7
127,Jared Cook,D'Andre Swift,Chuba Hubbard,A.J. Brown,Keenan Allen,Brandin Cooks,Deonte Harris,Josh Allen,Washington,49400,128.68
9,Jared Cook,D'Andre Swift,Nick Chubb,Chuba Hubbard,A.J. Brown,Brandin Cooks,Deonte Harris,Jalen Hurts,Washington,48800,128.65
260,Dallas Goedert,Jared Cook,D'Andre Swift,Nick Chubb,A.J. Brown,Calvin Ridley,Brandin Cooks,Daniel Jones,Washington,48900,128.63
261,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,A.J. Brown,Brandin Cooks,Jarvis Landry,Josh Allen,Washington,49000,128.56
10,Jared Cook,D'Andre Swift,Nick Chubb,Chuba Hubbard,Calvin Ridley,Brandin Cooks,Jaylen Waddle,Daniel Jones,Washington,48900,128.53000000000003
11,Jared Cook,D'Andre Swift,Nick Chubb,Chuba Hubbard,A.J. Brown,Brandin Cooks,Deonte Harris,Jalen Hurts,Detroit,49000,128.37
128,Jared Cook,D'Andre Swift,Chuba Hubbard,A.J. Brown,Calvin Ridley,Marvin Jones,Brandin Cooks,Daniel Jones,Washington,49300,128.36
262,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,D.J. Moore,A.J. Brown,Brandin Cooks,Daniel Jones,Washington,48700,128.18
12,Jared Cook,D'Andre Swift,Nick Chubb,Chuba Hubbard,D.J. Moore,A.J. Brown,Deonte Harris,Daniel Jones,Washington,48700,127.78
