,1,2,3,4,5,6,7,8,9,Salary,Projection
0,Travis Kelce,Alvin Kamara,Phillip Lindsay,Devontae Booker,Cooper Kupp,Tyreek Hill,Jarvis Landry,Cam Newton,Buffalo Bills,60000,145.0
226,Travis Kelce,Alvin Kamara,Lamar Miller,Courtland Sutton,Cooper Kupp,Adam Thielen,Jarvis Landry,Ryan Fitzpatrick,Buffalo Bills,60000,145.0
228,Travis Kelce,Alvin Kamara,Isaiah Crowell,Cooper Kupp,Adam Thielen,Kenny Golladay,Jarvis Landry,Ryan Fitzpatrick,Buffalo Bills,59900,144.6
227,David Njoku,Alvin Kamara,Lamar Miller,Cooper Kupp,Adam Thielen,Tyreek Hill,Jarvis Landry,Ryan Fitzpatrick,Buffalo Bills,59900,144.6
470,Travis Kelce,David Njoku,Alvin Kamara,Christian McCaffrey,Cooper Kupp,Tyreek Hill,Jarvis Landry,Ryan Fitzpatrick,Buffalo Bills,60000,144.4
1,Travis Kelce,Alvin Kamara,Devontae Booker,Christian McCaffrey,Cooper Kupp,Tyreek Hill,Jarvis Landry,Ryan Fitzpatrick,Buffalo Bills,59700,144.4
229,Travis Kelce,Alvin Kamara,Phillip Lindsay,Cooper Kupp,Kenny Golladay,Tyreek Hill,Jarvis Landry,Ryan Fitzpatrick,Buffalo Bills,59800,144.4
2,Travis Kelce,Alvin Kamara,Phillip Lindsay,Devontae Booker,Cooper Kupp,Adam Thielen,Jarvis Landry,Ryan Fitzpatrick,Detroit Lions,59900,144.3
471,Travis Kelce,David Njoku,Alvin Kamara,Phillip Lindsay,Cooper Kupp,Adam Thielen,Jarvis Landry,Ryan Fitzpatrick,Buffalo Bills,59900,144.2
3,Travis Kelce,Alvin Kamara,Phillip Lindsay,Devontae Booker,Cooper Kupp,Adam Thielen,Jarvis Landry,Ryan Fitzpatrick,Buffalo Bills,59600,144.2
230,Travis Kelce,Alvin Kamara,Lamar Miller,Cooper Kupp,Kenny Golladay,Tyreek Hill,Jarvis Landry,Ryan Fitzpatrick,Buffalo Bills,59600,143.8
4,Travis Kelce,Alvin Kamara,Devontae Booker,Lamar Miller,Cooper Kupp,Adam Thielen,Jarvis Landry,Ryan Fitzpatrick,Buffalo Bills,59400,143.6
472,Travis Kelce,David Njoku,Alvin Kamara,Lamar Miller,Cooper Kupp,Adam Thielen,Jarvis Landry,Ryan Fitzpatrick,Buffalo Bills,59700,143.6
231,Travis Kelce,Alvin Kamara,Devontae Booker,Cooper Kupp,Kenny Golladay,Tyreek Hill,Jarvis Landry,Cam Newton,Buffalo Bills,59500,143.29999999999998
232,Travis Kelce,Alvin Kamara,Christian McCaffrey,Cooper Kupp,Jermaine Kearse,Tyreek Hill,Jarvis Landry,Ryan Fitzpatrick,Buffalo Bills,59400,143.20000000000002
473,Travis Kelce,David Njoku,Alvin Kamara,Devontae Booker,Cooper Kupp,Adam Thielen,Jarvis Landry,Cam Newton,Buffalo Bills,59600,143.1
5,Travis Kelce,Alvin Kamara,Devontae Booker,Christian McCaffrey,Courtland Sutton,Adam Thielen,Jarvis Landry,Ryan Fitzpatrick,Buffalo Bills,59500,143.1
233,Travis Kelce,Alvin Kamara,Phillip Lindsay,Cooper Kupp,Jermaine Kearse,Adam Thielen,Jarvis Landry,Ryan Fitzpatrick,Buffalo Bills,59300,143.0
7,Travis Kelce,Alvin Kamara,Devontae Booker,Adrian Peterson,Cooper Kupp,Tyreek Hill,Jarvis Landry,Ryan Fitzpatrick,Buffalo Bills,59300,142.79999999999998
6,Travis Kelce,Alvin Kamara,Phillip Lindsay,Isaiah Crowell,Cooper Kupp,Tyreek Hill,Jarvis Landry,Ryan Fitzpatrick,Buffalo Bills,59300,142.79999999999998
