,1,2,3,4,5,6,7,8,9,Salary,Projection
0,Rob Gronkowski,Todd Gurley II,Phillip Lindsay,James White,Cooper Kupp,Emmanuel Sanders,Robert Woods,Jared Goff,Oakland Raiders,58400,143.8
1,Rob Gronkowski,Todd Gurley II,Phillip Lindsay,James White,Cooper Kupp,Emmanuel Sanders,Robert Woods,Tom Brady,Oakland Raiders,59500,143.4
2,George Kittle,Todd Gurley II,Phillip Lindsay,James White,Cooper Kupp,Emmanuel Sanders,Robert Woods,Jared Goff,Oakland Raiders,55900,143.1
3,Rob Gronkowski,Todd Gurley II,Phillip Lindsay,James White,Kenny Golladay,Cooper Kupp,Robert Woods,Jared Goff,Oakland Raiders,57300,143.0
4,George Kittle,Todd Gurley II,Phillip Lindsay,James White,Cooper Kupp,Emmanuel Sanders,Robert Woods,Tom Brady,Oakland Raiders,57000,142.7
5,George Kittle,Todd Gurley II,Phillip Lindsay,James White,Kenny Golladay,Cooper Kupp,Robert Woods,Jared Goff,Oakland Raiders,54800,142.3
6,Rob Gronkowski,Todd Gurley II,Phillip Lindsay,James White,Cooper Kupp,Emmanuel Sanders,Robert Woods,Jared Goff,Denver Broncos,59300,142.2
160,Rob Gronkowski,Todd Gurley II,James White,Kenny Golladay,Cooper Kupp,Emmanuel Sanders,Robert Woods,Jared Goff,Oakland Raiders,59200,142.10000000000002
7,Rob Gronkowski,Todd Gurley II,Phillip Lindsay,James White,Cooper Kupp,Emmanuel Sanders,Robert Woods,Jared Goff,San Francisco 49ers,58500,142.1
8,Rob Gronkowski,Todd Gurley II,Phillip Lindsay,James White,Cooper Kupp,Emmanuel Sanders,Robert Woods,Jared Goff,Detroit Lions,58900,141.7
9,Jared Cook,Todd Gurley II,Phillip Lindsay,James White,Kenny Golladay,Cooper Kupp,Robert Woods,Jared Goff,Oakland Raiders,54200,141.5
10,George Kittle,Todd Gurley II,Phillip Lindsay,James White,Cooper Kupp,Emmanuel Sanders,Robert Woods,Jared Goff,San Francisco 49ers,56000,141.4
161,George Kittle,Todd Gurley II,James White,Kenny Golladay,Cooper Kupp,Emmanuel Sanders,Robert Woods,Jared Goff,Oakland Raiders,56700,141.4
11,Rob Gronkowski,Todd Gurley II,Phillip Lindsay,James White,Kenny Golladay,Cooper Kupp,Robert Woods,Jared Goff,Denver Broncos,58200,141.39999999999998
12,Rob Gronkowski,Todd Gurley II,Phillip Lindsay,James White,Kenny Golladay,Emmanuel Sanders,Robert Woods,Jared Goff,Oakland Raiders,57800,141.3
13,Rob Gronkowski,Todd Gurley II,Phillip Lindsay,James White,Kenny Golladay,Cooper Kupp,Robert Woods,Jared Goff,San Francisco 49ers,57400,141.29999999999998
14,Rob Gronkowski,Todd Gurley II,James White,Jalen Richard,Cooper Kupp,Emmanuel Sanders,Robert Woods,Jared Goff,Oakland Raiders,58100,141.10000000000002
15,Jared Cook,Todd Gurley II,Phillip Lindsay,James White,Kenny Golladay,Cooper Kupp,Robert Woods,Tom Brady,Oakland Raiders,55300,141.1
162,George Kittle,Todd Gurley II,James White,Kenny Golladay,Cooper Kupp,Emmanuel Sanders,Robert Woods,Tom Brady,Oakland Raiders,57800,141.0
16,George Kittle,Todd Gurley II,Phillip Lindsay,James White,Cooper Kupp,Emmanuel Sanders,Robert Woods,Jared Goff,Detroit Lions,56400,141.0
17,George Kittle,Todd Gurley II,Phillip Lindsay,James White,Cooper Kupp,Emmanuel Sanders,Robert Woods,Jared Goff,New England Patriots,56500,140.8
18,Rob Gronkowski,Todd Gurley II,Phillip Lindsay,James White,Courtland Sutton,Cooper Kupp,Robert Woods,Jared Goff,Oakland Raiders,56300,140.70000000000002
322,Rob Gronkowski,George Kittle,Todd Gurley II,James White,Cooper Kupp,Emmanuel Sanders,Robert Woods,Jared Goff,Oakland Raiders,59100,140.70000000000002
