,1,2,3,4,5,6,7,8,9,Salary,Projection
0,Travis Kelce,D'Andre Swift,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,60000,141.86
1,Travis Kelce,Darrell Henderson,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,59800,140.62
2,Dallas Goedert,Alvin Kamara,D'Andre Swift,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Washington,59900,140.42000000000002
3,Dallas Goedert,Alvin Kamara,D'Andre Swift,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,59700,140.14
84,Dallas Goedert,D'Andre Swift,Chuba Hubbard,Chris Godwin,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Jacksonville,60000,140.09
85,Dallas Goedert,D'Andre Swift,Chuba Hubbard,Chris Godwin,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Washington,59900,139.91000000000003
86,Dallas Goedert,Alvin Kamara,Chuba Hubbard,Calvin Ridley,Robert Woods,Tyler Lockett,Tee Higgins,Josh Allen,Washington,59800,139.73000000000002
168,T.J. Hockenson,Dallas Goedert,Alvin Kamara,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Cleveland,60000,139.65
87,Dallas Goedert,D'Andre Swift,Chuba Hubbard,Chris Godwin,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,59700,139.63
88,Dallas Goedert,Alvin Kamara,Chuba Hubbard,Calvin Ridley,Robert Woods,Tyler Lockett,Tee Higgins,Josh Allen,Detroit,59600,139.45
4,Travis Kelce,D'Andre Swift,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Patrick Mahomes,Detroit,59600,139.0
5,Dallas Goedert,Alvin Kamara,Darrell Henderson,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,59500,138.9
169,Travis Kelce,Dallas Goedert,Alvin Kamara,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,59800,138.74
170,T.J. Hockenson,Dallas Goedert,Alvin Kamara,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Jacksonville,59500,138.53
6,Dallas Goedert,Alvin Kamara,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Cleveland,59200,138.47
89,Dallas Goedert,Darrell Henderson,Chuba Hubbard,Chris Godwin,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,59500,138.39
171,T.J. Hockenson,Dallas Goedert,Alvin Kamara,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Washington,59400,138.35000000000002
7,Dallas Goedert,Alvin Kamara,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Denver,59300,138.34
8,Dallas Goedert,Alvin Kamara,D'Andre Swift,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Daniel Jones,Detroit,59400,138.3
90,Dallas Goedert,D'Andre Swift,Chuba Hubbard,Calvin Ridley,Robert Woods,Tyler Lockett,Tee Higgins,Josh Allen,Jacksonville,59400,138.07
172,T.J. Hockenson,Dallas Goedert,Alvin Kamara,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,59200,138.07
91,Dallas Goedert,D'Andre Swift,Chuba Hubbard,Calvin Ridley,Robert Woods,Tyler Lockett,Tee Higgins,Josh Allen,Washington,59300,137.89
173,T.J. Hockenson,Dallas Goedert,Alvin Kamara,Chuba Hubbard,Chris Godwin,Calvin Ridley,Tee Higgins,Josh Allen,Detroit,59600,137.73000000000002
174,Travis Kelce,Mo Alie-Cox,D'Andre Swift,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,59700,137.69
92,Dallas Goedert,D'Andre Swift,Chuba Hubbard,Calvin Ridley,Robert Woods,Tyler Lockett,Tee Higgins,Josh Allen,Detroit,59100,137.61
9,T.J. Hockenson,Alvin Kamara,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Jacksonville,59000,137.55
10,Dallas Goedert,Alvin Kamara,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Los Angeles Chargers,59100,137.53
11,T.J. Hockenson,Alvin Kamara,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Washington,58900,137.37
12,Dallas Goedert,Alvin Kamara,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Jacksonville,58700,137.35
175,Mike Gesicki,Dallas Goedert,Alvin Kamara,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,59300,137.21
13,Dallas Goedert,Alvin Kamara,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Washington,58600,137.17000000000002
93,Dallas Goedert,Alvin Kamara,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Marquez Callaway,Josh Allen,Jacksonville,59200,137.06
14,Dallas Goedert,Alvin Kamara,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,58400,136.89
176,T.J. Hockenson,Dallas Goedert,D'Andre Swift,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Jacksonville,59000,136.69
177,Dalton Schultz,Dallas Goedert,Alvin Kamara,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,59100,136.67000000000002
94,Dallas Goedert,Alvin Kamara,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Marquez Callaway,Josh Allen,Detroit,58900,136.60000000000002
15,Dallas Goedert,Alvin Kamara,Chuba Hubbard,J.D. McKissic,Chris Godwin,Calvin Ridley,Tee Higgins,Josh Allen,Detroit,58800,136.55
178,T.J. Hockenson,Dallas Goedert,D'Andre Swift,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Washington,58900,136.51
179,T.J. Hockenson,Dallas Goedert,D'Andre Swift,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,58700,136.23000000000002
16,T.J. Hockenson,D'Andre Swift,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Jacksonville,58500,135.71
95,Travis Kelce,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tyler Lockett,Tee Higgins,Josh Allen,Jacksonville,59000,135.69
17,Dallas Goedert,D'Andre Swift,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Jacksonville,58200,135.51
180,T.J. Hockenson,Dallas Goedert,Darrell Henderson,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Jacksonville,58800,135.45000000000002
18,Dallas Goedert,D'Andre Swift,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Washington,58100,135.32999999999998
96,Travis Kelce,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tyler Lockett,Tee Higgins,Josh Allen,Detroit,58700,135.23000000000002
19,Dallas Goedert,D'Andre Swift,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,57900,135.05
97,Dallas Goedert,D'Andre Swift,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Marquez Callaway,Josh Allen,Washington,58600,135.04000000000002
181,T.J. Hockenson,Dallas Goedert,Darrell Henderson,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,58500,134.99
20,Dallas Goedert,Alvin Kamara,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Miami,58300,134.92
182,Dalton Schultz,Dallas Goedert,D'Andre Swift,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,58600,134.82999999999998
98,Dallas Goedert,D'Andre Swift,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Marquez Callaway,Josh Allen,Detroit,58400,134.76
99,Dallas Goedert,Alvin Kamara,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Marquez Callaway,Josh Allen,Miami,58800,134.63
21,Dallas Goedert,Darrell Henderson,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Jacksonville,58000,134.27
183,Travis Kelce,Dallas Goedert,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Jacksonville,58300,134.11
100,Dallas Goedert,Darrell Henderson,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Marquez Callaway,Josh Allen,Jacksonville,58500,133.98000000000002
184,Travis Kelce,Dallas Goedert,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Washington,58200,133.93
22,Dallas Goedert,Darrell Henderson,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,57700,133.81
185,Travis Kelce,Dallas Goedert,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,58000,133.65
186,Dalton Schultz,Dallas Goedert,Darrell Henderson,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,58400,133.59000000000003
101,Dallas Goedert,Darrell Henderson,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Marquez Callaway,Josh Allen,Detroit,58200,133.52
23,Dallas Goedert,D'Andre Swift,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Miami,57800,133.07999999999998
102,Travis Kelce,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Marquez Callaway,Josh Allen,Jacksonville,58300,132.84
187,Dallas Goedert,Mo Alie-Cox,Alvin Kamara,Chuba Hubbard,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Detroit,58100,132.72000000000003
103,Travis Kelce,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Marquez Callaway,Josh Allen,Detroit,58000,132.38
24,Dallas Goedert,D'Andre Swift,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Patrick Mahomes,Detroit,57500,132.19
104,Dallas Goedert,D'Andre Swift,J.D. McKissic,Calvin Ridley,Robert Woods,Tyler Lockett,Tee Higgins,Josh Allen,Washington,58100,131.95
188,Travis Kelce,Dallas Goedert,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,New York Jets,57800,131.93
25,Dallas Goedert,Darrell Henderson,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Miami,57600,131.84
189,Travis Kelce,Dallas Goedert,Chuba Hubbard,J.D. McKissic,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Miami,57900,131.68
105,Dallas Goedert,D'Andre Swift,J.D. McKissic,Calvin Ridley,Robert Woods,Tyler Lockett,Tee Higgins,Josh Allen,Detroit,57900,131.67000000000002
106,T.J. Hockenson,Chuba Hubbard,J.D. McKissic,Chris Godwin,Calvin Ridley,Robert Woods,Tee Higgins,Josh Allen,Jacksonville,57800,131.1
